AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,3.0,
,,,,1.0,,,0.0,,,,,,,,,,,1.0,,,,,,,4.0,
,,,,1.0,,1.0,0.0,,,,,,,,,,,0.0,,,,,,,3.0,
,1.0,,,0.0,,0.0,0.0,,,1.0,,,,,,,,1.0,,,,,,,3.0,
,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,
,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,0.0,,,,1.0,,,3.0,
,0.0,,,1.0,,1.0,0.0,,,0.0,,,,,,,,0.0,,,,1.0,,,11.0,
,0.0,,,0.0,,0.0,1.0,3.0,,1.0,,,,0.0,2.0,,6.0,12.0,1.0,,,2.0,2.0,,16.0,
,0.0,2.0,,4.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,,0.0,
,0.0,0.0,,0.0,,6.0,2.0,1.0,,2.0,2.0,,,0.0,5.0,,0.0,0.0,0.0,,,0.0,2.0,1.0,19.0,
,0.0,0.0,,2.0,,6.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,,0.0,9.0,0.0,,,0.0,1.0,0.0,0.0,
,0.0,0.0,,1.0,9.0,5.0,4.0,5.0,,2.0,2.0,,,0.0,0.0,,0.0,1.0,0.0,,,4.0,1.0,4.0,87.0,
3.0,0.0,0.0,,4.0,1.0,0.0,0.0,1.0,,8.0,2.0,,,0.0,10.0,,6.0,0.0,0.0,,,0.0,0.0,0.0,12.0,
0.0,0.0,0.0,,13.0,9.0,15.0,3.0,2.0,,5.0,1.0,,1.0,1.0,1.0,,2.0,38.0,0.0,,,11.0,7.0,1.0,76.0,1.0
1.0,3.0,1.0,,4.0,5.0,8.0,2.0,3.0,,10.0,2.0,,0.0,0.0,9.0,3.0,9.0,3.0,0.0,,,12.0,7.0,0.0,46.0,0.0
3.0,2.0,4.0,1.0,3.0,44.0,45.0,3.0,3.0,1.0,9.0,3.0,1.0,1.0,0.0,3.0,1.0,13.0,0.0,5.0,1.0,,12.0,19.0,1.0,110.0,0.0
4.0,1.0,4.0,0.0,7.0,16.0,21.0,10.0,1.0,1.0,17.0,4.0,0.0,0.0,0.0,2.0,0.0,7.0,53.0,3.0,2.0,2.0,26.0,17.0,3.0,0.0,1.0
0.0,0.0,15.0,0.0,14.0,41.0,9.0,0.0,2.0,0.0,28.0,5.0,1.0,2.0,0.0,4.0,2.0,11.0,67.0,4.0,0.0,0.0,8.0,11.0,0.0,235.0,3.0
6.0,1.0,6.0,0.0,8.0,39.0,21.0,7.0,2.0,6.0,45.0,0.0,4.0,1.0,1.0,5.0,0.0,6.0,47.0,0.0,0.0,0.0,19.0,18.0,0.0,114.0,2.0
4.0,2.0,15.0,0.0,16.0,21.0,23.0,7.0,6.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,10.0,72.0,1.0,2.0,6.0,16.0,23.0,5.0,65.0,0.0
2.0,1.0,7.0,1.0,12.0,26.0,34.0,0.0,6.0,0.0,3.0,0.0,2.0,2.0,2.0,4.0,0.0,27.0,65.0,0.0,0.0,0.0,50.0,13.0,1.0,52.0,0.0
0.0,0.0,13.0,0.0,17.0,26.0,6.0,8.0,3.0,2.0,20.0,1.0,2.0,6.0,1.0,2.0,1.0,9.0,51.0,5.0,1.0,2.0,28.0,27.0,0.0,190.0,1.0
2.0,1.0,14.0,1.0,15.0,45.0,40.0,6.0,11.0,3.0,36.0,3.0,0.0,3.0,4.0,9.0,1.0,19.0,72.0,9.0,0.0,2.0,7.0,14.0,0.0,171.0,1.0
0.0,2.0,30.0,1.0,4.0,40.0,19.0,7.0,7.0,2.0,16.0,3.0,0.0,2.0,4.0,11.0,1.0,12.0,65.0,40.0,0.0,4.0,3.0,21.0,0.0,183.0,0.0
9.0,3.0,29.0,4.0,29.0,37.0,38.0,11.0,0.0,6.0,26.0,5.0,0.0,2.0,0.0,5.0,5.0,15.0,42.0,0.0,0.0,0.0,30.0,13.0,0.0,45.0,1.0
7.0,0.0,11.0,0.0,20.0,23.0,14.0,13.0,4.0,9.0,30.0,8.0,7.0,6.0,3.0,4.0,2.0,8.0,57.0,9.0,2.0,0.0,24.0,22.0,2.0,66.0,1.0
1.0,1.0,24.0,2.0,41.0,19.0,21.0,12.0,5.0,21.0,14.0,4.0,7.0,8.0,1.0,10.0,0.0,25.0,51.0,5.0,1.0,0.0,51.0,16.0,1.0,822.0,1.0
1.0,0.0,25.0,1.0,29.0,44.0,37.0,23.0,8.0,19.0,39.0,3.0,3.0,7.0,3.0,8.0,1.0,44.0,124.0,10.0,0.0,10.0,11.0,12.0,3.0,642.0,0.0
2.0,0.0,29.0,1.0,21.0,118.0,30.0,19.0,0.0,10.0,56.0,2.0,13.0,8.0,8.0,11.0,0.0,29.0,160.0,14.0,1.0,4.0,70.0,34.0,2.0,525.0,0.0
1.0,5.0,31.0,7.0,23.0,95.0,19.0,14.0,15.0,7.0,27.0,7.0,3.0,26.0,3.0,30.0,3.0,49.0,82.0,70.0,0.0,7.0,24.0,20.0,3.0,542.0,1.0
0.0,0.0,51.0,10.0,46.0,87.0,37.0,13.0,15.0,8.0,33.0,2.0,16.0,7.0,2.0,40.0,2.0,94.0,172.0,39.0,1.0,5.0,8.0,55.0,5.0,418.0,3.0
2.0,5.0,106.0,3.0,65.0,215.0,12.0,28.0,12.0,37.0,68.0,3.0,0.0,4.0,1.0,25.0,0.0,44.0,148.0,31.0,3.0,0.0,50.0,23.0,0.0,154.0,1.0
2.0,3.0,115.0,7.0,36.0,85.0,17.0,15.0,4.0,39.0,27.0,1.0,16.0,37.0,1.0,22.0,2.0,21.0,67.0,0.0,4.0,0.0,33.0,38.0,0.0,246.0,2.0
0.0,3.0,104.0,12.0,25.0,143.0,18.0,18.0,14.0,58.0,34.0,14.0,2.0,31.0,5.0,129.0,5.0,45.0,227.0,8.0,5.0,7.0,54.0,40.0,4.0,816.0,0.0
8.0,3.0,168.0,56.0,53.0,206.0,6.0,46.0,26.0,43.0,55.0,5.0,12.0,11.0,14.0,49.0,7.0,39.0,250.0,7.0,3.0,3.0,26.0,44.0,3.0,1026.0,4.0
4.0,0.0,95.0,3.0,53.0,51.0,18.0,27.0,20.0,21.0,41.0,4.0,18.0,4.0,24.0,154.0,2.0,71.0,278.0,0.0,2.0,11.0,55.0,192.0,1.0,772.0,0.0
8.0,8.0,82.0,56.0,48.0,113.0,29.0,49.0,12.0,51.0,43.0,8.0,4.0,48.0,6.0,129.0,1.0,34.0,248.0,2.0,4.0,12.0,4.0,24.0,2.0,736.0,0.0
2.0,3.0,68.0,27.0,24.0,110.0,36.0,34.0,18.0,54.0,52.0,3.0,9.0,20.0,16.0,132.0,3.0,33.0,143.0,26.0,2.0,4.0,13.0,15.0,2.0,203.0,2.0
5.0,0.0,157.0,44.0,34.0,79.0,26.0,47.0,20.0,47.0,56.0,1.0,2.0,22.0,10.0,144.0,7.0,62.0,248.0,50.0,8.0,4.0,11.0,44.0,0.0,336.0,1.0
13.0,10.0,69.0,7.0,49.0,188.0,23.0,33.0,4.0,33.0,9.0,12.0,11.0,51.0,25.0,194.0,7.0,18.0,366.0,37.0,0.0,30.0,21.0,50.0,1.0,140.0,0.0
9.0,14.0,209.0,64.0,53.0,135.0,10.0,94.0,51.0,152.0,69.0,2.0,4.0,74.0,16.0,130.0,17.0,35.0,189.0,23.0,27.0,1.0,35.0,27.0,1.0,476.0,1.0
2.0,11.0,70.0,34.0,108.0,221.0,37.0,177.0,20.0,65.0,19.0,6.0,13.0,103.0,13.0,200.0,16.0,13.0,333.0,1.0,4.0,28.0,42.0,31.0,2.0,1672.0,2.0
14.0,6.0,165.0,20.0,83.0,121.0,39.0,201.0,14.0,102.0,55.0,10.0,5.0,70.0,30.0,199.0,11.0,29.0,201.0,63.0,19.0,22.0,30.0,42.0,5.0,525.0,2.0
20.0,21.0,90.0,13.0,97.0,335.0,29.0,17.0,17.0,243.0,63.0,12.0,6.0,70.0,10.0,323.0,21.0,42.0,405.0,53.0,18.0,37.0,39.0,36.0,5.0,1273.0,1.0
7.0,22.0,88.0,25.0,136.0,315.0,40.0,147.0,43.0,165.0,56.0,18.0,9.0,14.0,31.0,187.0,21.0,73.0,194.0,45.0,18.0,21.0,23.0,13.0,13.0,1053.0,1.0
21.0,27.0,147.0,16.0,49.0,244.0,64.0,96.0,15.0,115.0,77.0,7.0,3.0,44.0,9.0,266.0,14.0,42.0,132.0,34.0,32.0,22.0,15.0,50.0,15.0,373.0,1.0
13.0,12.0,116.0,19.0,128.0,179.0,15.0,17.0,10.0,76.0,35.0,3.0,7.0,217.0,18.0,231.0,28.0,20.0,224.0,13.0,39.0,3.0,35.0,38.0,6.0,313.0,1.0
19.0,39.0,110.0,31.0,127.0,197.0,38.0,101.0,18.0,208.0,41.0,2.0,0.0,124.0,38.0,218.0,20.0,17.0,407.0,38.0,24.0,33.0,14.0,28.0,25.0,805.0,1.0
19.0,33.0,209.0,26.0,141.0,434.0,46.0,38.0,17.0,153.0,53.0,2.0,24.0,169.0,44.0,390.0,11.0,38.0,246.0,62.0,0.0,17.0,52.0,24.0,1.0,529.0,1.0
13.0,81.0,409.0,63.0,200.0,586.0,9.0,102.0,15.0,194.0,25.0,11.0,15.0,72.0,41.0,306.0,39.0,19.0,620.0,46.0,27.0,7.0,69.0,55.0,17.0,826.0,6.0
7.0,89.0,306.0,93.0,134.0,419.0,44.0,212.0,33.0,154.0,111.0,27.0,21.0,312.0,61.0,395.0,41.0,37.0,110.0,27.0,40.0,41.0,57.0,39.0,10.0,1086.0,7.0
24.0,88.0,441.0,41.0,137.0,546.0,8.0,46.0,20.0,118.0,62.0,4.0,5.0,166.0,52.0,508.0,34.0,22.0,546.0,44.0,38.0,56.0,70.0,26.0,9.0,2178.0,8.0
21.0,59.0,198.0,132.0,132.0,593.0,105.0,108.0,67.0,187.0,67.0,17.0,3.0,325.0,44.0,391.0,33.0,16.0,283.0,7.0,36.0,6.0,42.0,102.0,21.0,711.0,9.0
22.0,83.0,95.0,21.0,108.0,523.0,64.0,125.0,43.0,118.0,38.0,4.0,7.0,149.0,90.0,460.0,44.0,30.0,833.0,25.0,29.0,18.0,48.0,139.0,36.0,981.0,12.0
16.0,134.0,409.0,76.0,208.0,202.0,41.0,220.0,45.0,276.0,63.0,2.0,7.0,100.0,65.0,366.0,46.0,85.0,560.0,229.0,20.0,0.0,94.0,519.0,69.0,2345.0,37.0
37.0,180.0,464.0,98.0,112.0,424.0,83.0,374.0,44.0,386.0,109.0,9.0,29.0,267.0,116.0,470.0,59.0,78.0,365.0,91.0,20.0,1.0,70.0,90.0,0.0,2117.0,21.0
50.0,88.0,453.0,64.0,191.0,452.0,110.0,150.0,76.0,316.0,69.0,6.0,10.0,413.0,112.0,682.0,87.0,59.0,584.0,120.0,69.0,93.0,109.0,309.0,173.0,2540.0,27.0
83.0,181.0,469.0,41.0,273.0,139.0,123.0,225.0,27.0,299.0,108.0,6.0,18.0,360.0,108.0,458.0,65.0,41.0,713.0,69.0,83.0,0.0,90.0,-290.0,64.0,1676.0,27.0
66.0,145.0,339.0,66.0,175.0,309.0,59.0,191.0,17.0,235.0,88.0,5.0,13.0,368.0,135.0,811.0,77.0,46.0,380.0,26.0,69.0,149.0,47.0,242.0,84.0,800.0,55.0
105.0,70.0,621.0,295.0,251.0,70.0,115.0,104.0,25.0,187.0,95.0,6.0,4.0,193.0,50.0,498.0,42.0,23.0,593.0,29.0,51.0,-135.0,24.0,173.0,129.0,598.0,21.0
75.0,97.0,630.0,251.0,168.0,2661.0,73.0,143.0,11.0,303.0,229.0,2.0,7.0,342.0,142.0,220.0,91.0,48.0,582.0,115.0,51.0,45.0,78.0,104.0,42.0,415.0,36.0
84.0,67.0,796.0,198.0,306.0,430.0,44.0,189.0,61.0,498.0,105.0,9.0,22.0,494.0,132.0,462.0,74.0,27.0,670.0,108.0,105.0,291.0,251.0,172.0,126.0,1866.0,48.0
126.0,98.0,1134.0,115.0,261.0,840.0,209.0,174.0,102.0,361.0,153.0,5.0,19.0,768.0,164.0,556.0,102.0,39.0,904.0,95.0,82.0,63.0,81.0,122.0,100.0,3800.0,72.0
71.0,164.0,856.0,153.0,227.0,1578.0,212.0,274.0,3.0,520.0,165.0,23.0,34.0,411.0,192.0,943.0,80.0,31.0,861.0,82.0,155.0,88.0,82.0,165.0,216.0,2075.0,71.0
163.0,166.0,628.0,123.0,290.0,1246.0,184.0,254.0,26.0,856.0,173.0,15.0,45.0,584.0,181.0,763.0,102.0,56.0,1585.0,98.0,124.0,104.0,311.0,123.0,224.0,1902.0,78.0
158.0,137.0,1198.0,171.0,356.0,745.0,134.0,170.0,16.0,834.0,180.0,20.0,38.0,499.0,126.0,883.0,45.0,75.0,1188.0,0.0,41.0,78.0,49.0,167.0,150.0,2581.0,116.0
112.0,88.0,674.0,120.0,384.0,813.0,106.0,187.0,24.0,545.0,114.0,16.0,17.0,330.0,185.0,805.0,54.0,50.0,133.0,11.0,39.0,88.0,34.0,57.0,183.0,1033.0,59.0
13.0,85.0,320.0,58.0,250.0,907.0,117.0,220.0,7.0,382.0,83.0,23.0,26.0,721.0,184.0,493.0,111.0,14.0,877.0,103.0,96.0,5.0,232.0,100.0,29.0,687.0,81.0
130.0,237.0,1249.0,239.0,396.0,813.0,180.0,268.0,15.0,586.0,115.0,20.0,59.0,990.0,252.0,541.0,169.0,57.0,547.0,334.0,62.0,116.0,109.0,204.0,232.0,1588.0,104.0
104.0,181.0,1648.0,95.0,343.0,744.0,213.0,314.0,110.0,689.0,298.0,25.0,69.0,1285.0,268.0,592.0,172.0,93.0,242.0,170.0,152.0,0.0,80.0,95.0,236.0,3378.0,97.0
46.0,211.0,1365.0,423.0,408.0,1921.0,224.0,412.0,235.0,938.0,217.0,22.0,61.0,1135.0,316.0,687.0,121.0,68.0,739.0,249.0,74.0,89.0,104.0,504.0,226.0,3189.0,150.0
45.0,240.0,1211.0,202.0,1173.0,1982.0,371.0,385.0,145.0,853.0,246.0,27.0,58.0,1147.0,378.0,621.0,180.0,76.0,520.0,0.0,108.0,89.0,594.0,230.0,374.0,4092.0,100.0
82.0,381.0,1285.0,204.0,186.0,736.0,353.0,397.0,47.0,900.0,278.0,29.0,65.0,838.0,324.0,2279.0,167.0,105.0,1614.0,218.0,124.0,117.0,39.0,116.0,267.0,2805.0,103.0
129.0,223.0,651.0,118.0,129.0,460.0,228.0,149.0,40.0,746.0,137.0,62.0,44.0,737.0,284.0,964.0,35.0,44.0,637.0,134.0,45.0,85.0,1.0,98.0,208.0,1162.0,114.0
238.0,215.0,585.0,71.0,438.0,2108.0,250.0,413.0,89.0,960.0,84.0,43.0,40.0,1266.0,439.0,642.0,153.0,74.0,4427.0,345.0,80.0,91.0,15.0,399.0,223.0,721.0,150.0
248.0,288.0,1219.0,287.0,2132.0,1749.0,235.0,536.0,99.0,916.0,282.0,29.0,64.0,1710.0,514.0,1148.0,197.0,129.0,1140.0,313.0,370.0,106.0,48.0,238.0,401.0,2929.0,163.0
