0,1,2,3,4,5,6
9.28,9.23,9.27,9.06,9.29,8.98,8.99
8.67,8.56,8.79,8.41,8.82,8.43,8.35
7.48,7.38,7.46,7.34,7.46,7.24,7.27
6.96,6.95,6.78,6.98,6.76,6.71,6.81
6.32,6.43,6.2,6.39,6.22,6.88,7.05
6.66,6.8,6.54,6.63,6.55,7.2,7.32
7.5,7.58,7.34,7.43,7.36,7.93,8.1
7.13,7.08,6.95,6.98,6.96,6.87,6.89
7.64,7.5,7.59,7.42,7.6,7.37,7.38
6.61,6.5,6.83,6.31,6.79,6.36,6.23
7.98,8.0,7.98,7.83,7.96,7.65,7.58
7.73,7.77,7.6,7.72,7.57,7.38,7.4
8.54,8.56,8.2,8.59,8.18,8.2,8.38
7.24,7.23,6.97,7.3,6.89,6.95,7.18
7.48,7.46,7.38,7.37,7.35,7.26,7.35
6.71,6.65,6.79,6.53,6.78,6.57,6.58
7.56,7.52,7.53,7.33,7.55,7.31,7.33
7.14,7.17,6.9,7.05,6.89,6.85,6.95
7.46,7.56,7.23,7.38,7.17,6.95,6.9
7.18,7.24,7.19,7.05,7.1,6.8,6.64
8.88,8.94,8.87,8.74,8.77,8.49,8.35
10.6,10.6,10.66,10.44,10.59,10.48,10.45
11.06,11.02,10.86,10.92,10.77,10.64,10.79
9.31,9.2,9.33,9.05,9.26,8.95,9.03
8.41,8.39,8.43,8.21,8.42,8.13,8.11
7.26,7.23,7.52,7.0,7.59,7.19,7.0
7.29,7.28,7.49,7.07,7.54,7.18,6.99
7.24,7.17,7.43,7.03,7.43,7.12,7.0
