0,1,2,3,4,5,6
11.85,11.84,11.76,11.62,11.76,11.46,11.5
11.47,11.45,11.57,11.16,11.58,11.16,11.07
9.46,9.42,9.52,9.22,9.53,9.18,9.14
9.53,9.55,9.43,9.39,9.44,9.2,9.25
9.42,9.51,9.22,9.36,9.24,9.94,10.3
9.97,10.07,9.82,9.81,9.82,10.4,10.72
10.52,10.56,10.28,10.36,10.25,10.82,11.18
10.36,10.34,10.52,10.08,10.51,10.2,10.09
10.84,10.75,11.04,10.53,11.03,10.66,10.55
10.2,10.15,10.61,9.83,10.58,10.08,9.86
11.94,12.0,11.8,11.75,11.81,11.51,11.52
11.99,12.07,11.77,11.88,11.78,11.55,11.58
13.18,13.26,12.86,13.07,12.88,12.68,12.77
11.0,11.04,10.65,10.93,10.62,10.45,10.61
11.04,11.07,10.94,10.85,10.94,10.68,10.7
8.93,8.91,9.02,8.73,9.02,8.72,8.69
9.48,9.45,9.51,9.23,9.51,9.21,9.2
8.85,8.85,8.61,8.74,8.61,8.44,8.55
9.08,9.13,8.92,8.94,8.87,8.54,8.52
10.58,10.6,10.54,10.38,10.5,10.05,9.95
12.01,12.05,11.86,11.84,11.79,11.43,11.42
15.9,15.88,16.31,15.59,16.29,15.88,15.66
15.48,15.43,15.81,15.18,15.78,15.38,15.24
14.41,14.31,14.92,14.03,14.9,14.39,14.17
11.51,11.48,11.49,11.29,11.49,11.09,11.1
10.56,10.55,10.8,10.28,10.82,10.38,10.21
10.75,10.77,10.96,10.47,10.97,10.53,10.37
11.05,11.03,11.25,10.78,11.21,10.82,10.69
