holiday,prior_scale,RMSE_Mean
Ano Novo,0.01,10.99
Ano Novo,0.05,10.68
Ano Novo,0.1,10.8
Ano Novo,0.5,11.12
Ano Novo,1.0,10.84
Ano Novo,5.0,10.95
Ano Novo,10.0,10.78
Carnaval,0.01,11.1
Carnaval,0.05,11.05
Carnaval,0.1,10.91
Carnaval,0.5,11.07
Carnaval,1.0,10.94
Carnaval,5.0,10.96
Carnaval,10.0,10.88
Sexta-Feira Santa,0.01,11.04
Sexta-Feira Santa,0.05,10.93
Sexta-Feira Santa,0.1,11.01
Sexta-Feira Santa,0.5,10.55
Sexta-Feira Santa,1.0,10.92
Sexta-Feira Santa,5.0,10.87
Sexta-Feira Santa,10.0,11.05
Dia de Tiradentes,0.01,11.03
Dia de Tiradentes,0.05,11.09
Dia de Tiradentes,0.1,11.11
Dia de Tiradentes,0.5,10.89
Dia de Tiradentes,1.0,10.91
Dia de Tiradentes,5.0,10.92
Dia de Tiradentes,10.0,10.94
Dia do Trabalho,0.01,11.13
Dia do Trabalho,0.05,11.05
Dia do Trabalho,0.1,11.13
Dia do Trabalho,0.5,10.85
Dia do Trabalho,1.0,11.1
Dia do Trabalho,10.0,10.84
Corpus Christi,0.01,11.13
Corpus Christi,0.05,10.94
Corpus Christi,0.1,10.89
Corpus Christi,0.5,10.88
Corpus Christi,1.0,10.93
Corpus Christi,5.0,11.15
Corpus Christi,10.0,10.81
Independência do Brasil,0.01,11.24
Independência do Brasil,0.1,11.15
Independência do Brasil,0.5,10.83
Independência do Brasil,5.0,10.91
Independência do Brasil,10.0,11.06
Nossa Senhora Aparecida,0.01,10.99
Nossa Senhora Aparecida,0.05,10.95
Nossa Senhora Aparecida,0.1,10.73
Nossa Senhora Aparecida,0.5,10.99
Nossa Senhora Aparecida,1.0,10.96
Nossa Senhora Aparecida,5.0,10.72
Nossa Senhora Aparecida,10.0,10.86
Dia do Professor,0.01,10.99
Dia do Professor,0.05,10.77
Dia do Professor,0.5,11.25
Dia do Professor,1.0,10.8
Dia do Professor,5.0,11.2
Dia do Professor,10.0,10.89
Dia do Servidor Público,0.01,10.76
Dia do Servidor Público,0.05,10.9
Dia do Servidor Público,0.1,11.07
Dia do Servidor Público,0.5,10.99
Dia do Servidor Público,1.0,10.78
Dia do Servidor Público,5.0,10.96
Dia do Servidor Público,10.0,11.1
Dia de Finados,0.01,11.01
Dia de Finados,0.05,10.9
Dia de Finados,0.1,10.81
Dia de Finados,0.5,10.8
Dia de Finados,5.0,10.79
Dia de Finados,10.0,11.02
Proclamação da República,0.01,10.85
Proclamação da República,0.05,10.82
Proclamação da República,0.1,10.94
Proclamação da República,0.5,10.89
Proclamação da República,1.0,10.86
Proclamação da República,5.0,11.18
Natal,0.01,11.37
Natal,0.05,10.84
Natal,0.5,10.71
Natal,1.0,10.97
Natal,10.0,10.94
