0,1,2,3,4,5,6,7,8,9,10,11,12
11.6,11.66,11.61,11.64,11.81,18.51,11.74,11.64,11.71,11.68,11.66,11.58,11.51
11.23,11.29,11.25,11.18,11.49,17.89,11.31,11.27,11.23,11.2,11.31,11.1,10.99
9.26,9.29,9.23,9.23,9.45,19.46,9.31,9.27,9.24,9.24,9.33,9.16,9.09
9.32,9.39,9.36,9.41,9.5,20.2,9.44,9.34,9.44,9.45,9.39,9.36,9.31
9.23,9.27,9.31,9.39,9.42,20.76,9.39,9.28,9.47,9.59,9.57,9.58,9.53
9.72,9.72,9.76,9.83,10.01,18.14,9.88,9.77,9.89,10.01,10.15,9.96,9.87
10.25,10.19,10.17,10.37,10.53,19.13,10.38,10.3,10.4,10.57,10.73,10.47,10.43
10.17,10.18,10.14,10.09,10.44,19.6,10.21,10.2,10.08,10.07,10.26,10.0,9.92
10.65,10.66,10.57,10.54,10.9,21.66,10.68,10.69,10.53,10.51,10.69,10.44,10.36
10.07,10.12,10.05,9.86,10.31,21.54,10.08,10.1,9.89,9.82,10.04,9.79,9.66
11.68,11.77,11.78,11.78,11.94,25.44,11.89,11.78,11.89,11.89,11.8,11.74,11.72
11.76,11.82,11.87,11.9,11.98,25.52,11.92,11.8,11.98,11.99,11.89,11.87,11.84
12.89,12.89,12.92,13.07,13.15,24.35,13.07,12.93,13.11,13.16,13.15,13.0,12.96
10.73,10.62,10.6,10.89,10.93,23.3,10.82,10.72,10.88,10.99,11.16,10.83,10.77
10.79,10.75,10.75,10.83,11.04,26.16,10.91,10.85,10.9,10.94,11.09,10.8,10.73
8.76,8.76,8.71,8.72,8.94,27.17,8.83,8.8,8.78,8.76,8.91,8.67,8.6
9.26,9.3,9.24,9.23,9.47,29.08,9.42,9.38,9.36,9.39,9.41,9.24,9.26
8.6,8.62,8.58,8.73,8.79,28.87,8.8,8.72,8.83,8.93,8.84,8.75,8.83
8.87,8.9,8.97,8.96,9.09,27.13,9.04,9.01,9.11,9.19,9.09,9.04,9.1
10.36,10.34,10.39,10.41,10.65,22.65,10.46,10.44,10.45,10.48,10.64,10.39,10.32
11.77,11.72,11.75,11.85,12.06,23.78,11.9,11.85,11.9,11.96,12.11,11.82,11.78
15.8,15.79,15.75,15.62,16.08,24.53,15.82,15.84,15.61,15.56,15.9,15.62,15.41
15.36,15.37,15.28,15.21,15.6,29.12,15.42,15.42,15.23,15.18,15.43,15.21,15.04
14.31,14.33,14.21,14.05,14.55,28.61,14.32,14.36,14.07,13.99,14.34,14.06,13.85
11.27,11.27,11.21,11.29,11.52,31.06,11.44,11.38,11.39,11.37,11.49,11.25,11.18
10.39,10.41,10.42,10.31,10.68,26.89,10.5,10.49,10.38,10.31,10.52,10.26,10.12
10.57,10.57,10.58,10.5,10.9,22.43,10.68,10.66,10.55,10.49,10.77,10.42,10.28
10.89,10.8,10.76,10.79,11.17,21.18,10.9,10.9,10.74,10.73,11.15,10.67,10.51
