0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
9.29,9.24,8.94,9.07,9.04,9.19,8.95,9.14,9.31,9.06,8.95,8.92,9.12,9.05,9.01,9.14,9.27,9.23,9.0,9.12,9.12,9.06,9.06,9.15,9.12,9.05,9.12,9.09,9.03,9.1,9.39,9.24,9.21,9.08,9.27,9.08,9.17,9.07,8.88,9.16,9.0,9.13,9.34,9.15
8.75,8.67,8.15,8.5,8.47,8.54,8.29,8.47,8.7,8.46,8.21,8.28,8.5,8.38,8.35,8.56,8.68,8.65,8.33,8.53,8.52,8.45,8.46,8.53,8.5,8.51,8.53,8.42,8.42,8.48,8.8,8.65,8.59,8.42,8.65,8.53,8.58,8.38,7.98,8.45,8.42,8.5,8.81,8.62
7.46,7.4,7.19,7.37,7.35,7.4,7.27,7.34,7.52,7.23,7.2,7.19,7.32,7.32,7.29,7.4,7.42,7.43,7.27,7.35,7.3,7.3,7.33,7.38,7.4,7.3,7.31,7.22,7.27,7.3,7.38,7.41,7.41,7.33,7.43,7.34,7.36,7.32,7.08,7.31,7.26,7.29,7.47,7.34
6.84,6.86,7.03,6.94,6.87,6.94,6.87,6.97,7.03,6.74,6.98,6.81,6.83,6.96,6.96,6.92,6.93,6.89,6.89,6.88,6.85,6.76,6.93,6.9,6.95,6.69,6.79,6.79,6.82,6.83,6.79,6.89,6.94,6.94,7.0,6.75,6.84,7.0,7.06,7.0,6.77,6.76,6.82,6.7
6.29,6.29,6.48,6.4,6.3,6.34,6.29,6.43,6.41,6.23,6.47,6.29,6.24,6.42,6.42,6.33,6.4,6.31,6.32,6.3,6.33,6.16,6.4,6.24,6.31,6.13,6.26,6.3,6.26,6.29,6.28,6.4,6.41,6.33,6.45,6.14,6.24,6.42,6.59,6.5,6.21,6.17,6.28,6.08
6.62,6.72,6.76,6.61,6.48,6.66,6.46,6.7,6.7,6.58,6.74,6.45,6.56,6.64,6.66,6.62,6.73,6.59,6.54,6.64,6.64,6.46,6.72,6.5,6.52,6.4,6.57,6.62,6.57,6.63,6.82,6.68,6.66,6.58,6.71,6.38,6.55,6.67,6.86,6.8,6.45,6.51,6.56,6.44
7.41,7.53,7.55,7.33,7.25,7.49,7.25,7.45,7.49,7.33,7.49,7.18,7.37,7.4,7.43,7.41,7.51,7.41,7.33,7.43,7.42,7.31,7.47,7.32,7.33,7.22,7.37,7.39,7.34,7.4,7.61,7.42,7.45,7.36,7.47,7.2,7.34,7.42,7.65,7.52,7.23,7.32,7.34,7.29
6.98,7.08,7.02,6.91,6.9,7.08,6.9,6.95,7.08,6.85,6.96,6.77,6.93,6.98,7.0,6.98,7.06,7.02,6.91,6.97,6.94,6.93,7.03,7.0,6.99,6.91,6.94,6.89,6.89,6.94,7.15,7.0,7.03,6.93,7.01,6.85,6.92,6.93,7.03,6.98,6.88,6.89,6.97,6.95
7.56,7.58,7.26,7.43,7.44,7.52,7.35,7.38,7.62,7.31,7.25,7.23,7.4,7.4,7.39,7.49,7.54,7.55,7.33,7.46,7.41,7.42,7.46,7.5,7.51,7.47,7.43,7.31,7.35,7.4,7.63,7.51,7.51,7.38,7.49,7.45,7.43,7.33,7.11,7.34,7.37,7.38,7.57,7.49
6.74,6.62,6.15,6.51,6.51,6.46,6.31,6.39,6.65,6.44,6.16,6.29,6.42,6.36,6.3,6.51,6.61,6.63,6.27,6.48,6.45,6.41,6.46,6.5,6.48,6.6,6.52,6.37,6.38,6.45,6.82,6.67,6.54,6.35,6.55,6.55,6.51,6.25,6.03,6.32,6.43,6.45,6.8,6.58
8.02,7.97,7.96,7.88,7.83,7.92,7.74,7.93,8.04,7.86,7.87,7.75,7.85,7.85,7.81,7.9,8.04,7.97,7.79,7.88,7.93,7.79,7.87,7.85,7.87,7.8,7.9,7.9,7.79,7.88,8.13,8.01,7.98,7.83,8.03,7.8,7.87,7.83,8.0,7.94,7.76,7.83,8.04,7.82
