0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
11.81,11.76,11.59,11.61,11.56,11.81,11.5,11.73,11.88,11.51,11.58,11.41,11.61,11.68,11.63,11.68,11.84,11.77,11.54,11.62,11.62,11.52,11.67,11.68,11.65,11.51,11.62,11.58,11.52,11.62,11.93,11.85,11.8,11.62,11.86,11.51,11.66,11.66,11.61,11.79,11.5,11.6,11.89,11.59
11.55,11.48,11.02,11.23,11.17,11.37,11.0,11.3,11.51,11.21,11.06,10.98,11.25,11.18,11.14,11.31,11.53,11.43,11.07,11.28,11.29,11.15,11.26,11.27,11.21,11.2,11.29,11.22,11.16,11.27,11.74,11.5,11.41,11.18,11.5,11.18,11.33,11.18,10.89,11.35,11.12,11.27,11.64,11.33
9.5,9.45,9.14,9.25,9.19,9.36,9.08,9.31,9.49,9.23,9.13,9.04,9.27,9.2,9.17,9.32,9.46,9.4,9.13,9.3,9.28,9.2,9.26,9.29,9.26,9.21,9.28,9.23,9.2,9.27,9.64,9.44,9.37,9.23,9.45,9.23,9.33,9.23,9.07,9.35,9.15,9.28,9.55,9.31
9.49,9.43,9.43,9.37,9.3,9.53,9.27,9.48,9.58,9.22,9.4,9.2,9.32,9.45,9.41,9.4,9.55,9.47,9.32,9.34,9.35,9.22,9.41,9.4,9.39,9.21,9.33,9.3,9.26,9.35,9.56,9.55,9.53,9.37,9.58,9.2,9.36,9.43,9.52,9.54,9.23,9.3,9.56,9.25
9.32,9.36,9.57,9.28,9.18,9.45,9.21,9.46,9.46,9.18,9.47,9.16,9.26,9.41,9.39,9.31,9.46,9.33,9.29,9.28,9.31,9.14,9.37,9.28,9.28,9.05,9.24,9.29,9.21,9.28,9.47,9.41,9.43,9.33,9.49,9.05,9.26,9.42,9.73,9.57,9.13,9.21,9.35,9.08
9.9,10.02,10.0,9.73,9.58,9.93,9.54,9.97,9.99,9.77,9.9,9.53,9.8,9.77,9.79,9.83,10.02,9.83,9.69,9.86,9.86,9.64,9.85,9.74,9.69,9.49,9.74,9.83,9.74,9.81,10.26,9.87,9.87,9.79,10.02,9.52,9.82,9.88,10.03,10.11,9.56,9.8,9.87,9.66
10.35,10.61,10.65,10.18,10.03,10.42,10.03,10.46,10.49,10.33,10.45,10.01,10.37,10.19,10.25,10.35,10.48,10.29,10.21,10.44,10.41,10.25,10.32,10.27,10.22,9.98,10.25,10.39,10.31,10.32,10.82,10.21,10.28,10.33,10.48,10.07,10.36,10.41,10.66,10.62,10.04,10.36,10.23,10.22
10.45,10.47,9.98,10.12,10.05,10.22,9.88,10.18,10.36,10.22,9.98,9.86,10.19,10.01,10.02,10.24,10.39,10.29,9.96,10.27,10.22,10.13,10.2,10.16,10.08,10.16,10.22,10.16,10.15,10.21,10.73,10.31,10.21,10.08,10.3,10.13,10.25,10.05,9.84,10.22,10.04,10.24,10.43,10.31
10.94,10.93,10.35,10.59,10.54,10.67,10.35,10.6,10.84,10.67,10.36,10.32,10.66,10.44,10.44,10.71,10.83,10.78,10.4,10.73,10.67,10.62,10.63,10.64,10.58,10.68,10.69,10.59,10.6,10.65,11.15,10.76,10.66,10.53,10.73,10.65,10.72,10.46,10.17,10.59,10.51,10.7,10.92,10.81
10.47,10.31,9.48,10.05,10.01,10.05,9.74,9.98,10.25,10.09,9.61,9.75,10.03,9.86,9.81,10.11,10.27,10.24,9.75,10.09,10.05,9.97,10.04,10.04,9.96,10.18,10.14,9.96,9.98,10.07,10.6,10.32,10.12,9.88,10.16,10.1,10.13,9.77,9.21,9.93,9.95,10.09,10.51,10.24
11.89,11.85,11.84,11.7,11.63,11.95,11.6,11.87,11.98,11.6,11.79,11.52,11.69,11.83,11.79,11.77,11.98,11.86,11.67,11.7,11.74,11.59,11.81,11.75,11.74,11.58,11.73,11.71,11.61,11.74,12.04,11.96,11.94,11.72,11.96,11.51,11.7,11.76,11.94,11.93,11.56,11.65,11.95,11.6
11.89,11.9,12.08,11.8,11.71,12.02,11.73,11.98,12.02,11.69,11.98,11.66,11.78,11.95,11.92,11.84,12.04,11.9,11.81,11.79,11.85,11.66,11.89,11.83,11.82,11.59,11.78,11.81,11.71,11.81,12.04,11.99,12.01,11.84,12.04,11.55,11.77,11.91,12.23,12.07,11.64,11.71,11.93,11.63
