,ds,y,cap
16,2020-03-12,0.0,300
17,2020-03-13,0.0,300
18,2020-03-14,0.0,300
19,2020-03-15,0.0,300
20,2020-03-16,0.0,300
21,2020-03-17,0.0,300
22,2020-03-18,0.0,300
23,2020-03-19,0.0,300
24,2020-03-20,0.0,300
25,2020-03-21,0.0,300
26,2020-03-22,0.0,300
27,2020-03-23,0.0,300
28,2020-03-24,0.0,300
29,2020-03-25,0.0,300
30,2020-03-26,1.0,300
31,2020-03-27,0.0,300
32,2020-03-28,0.0,300
33,2020-03-29,0.0,300
34,2020-03-30,1.0,300
35,2020-03-31,0.0,300
36,2020-04-01,0.0,300
37,2020-04-02,3.0,300
38,2020-04-03,0.0,300
39,2020-04-04,5.0,300
40,2020-04-05,0.0,300
41,2020-04-06,1.0,300
42,2020-04-07,4.0,300
43,2020-04-08,2.0,300
44,2020-04-09,1.0,300
45,2020-04-10,0.0,300
46,2020-04-11,3.0,300
47,2020-04-12,3.0,300
48,2020-04-13,2.0,300
49,2020-04-14,2.0,300
50,2020-04-15,1.0,300
51,2020-04-16,1.0,300
52,2020-04-17,1.0,300
53,2020-04-18,1.0,300
54,2020-04-19,3.0,300
55,2020-04-20,0.0,300
56,2020-04-21,2.0,300
57,2020-04-22,2.0,300
58,2020-04-23,3.0,300
59,2020-04-24,0.0,300
60,2020-04-25,0.0,300
61,2020-04-26,1.0,300
62,2020-04-27,1.0,300
63,2020-04-28,0.0,300
64,2020-04-29,2.0,300
65,2020-04-30,2.0,300
66,2020-05-01,2.0,300
67,2020-05-02,2.0,300
68,2020-05-03,0.0,300
69,2020-05-04,3.0,300
70,2020-05-05,3.0,300
71,2020-05-06,1.0,300
72,2020-05-07,4.0,300
73,2020-05-08,0.0,300
74,2020-05-09,1.0,300
75,2020-05-10,1.0,300
76,2020-05-11,4.0,300
77,2020-05-12,4.0,300
78,2020-05-13,0.0,300
79,2020-05-14,5.0,300
80,2020-05-15,1.0,300
81,2020-05-16,2.0,300
82,2020-05-17,2.0,300
83,2020-05-18,2.0,300
84,2020-05-19,6.0,300
85,2020-05-20,3.0,300
86,2020-05-21,4.0,300
87,2020-05-22,2.0,300
88,2020-05-23,3.0,300
89,2020-05-24,2.0,300
90,2020-05-25,4.0,300
91,2020-05-26,12.0,300
92,2020-05-27,5.0,300
93,2020-05-28,5.0,300
94,2020-05-29,3.0,300
95,2020-05-30,2.0,300
96,2020-05-31,7.0,300
97,2020-06-01,3.0,300
98,2020-06-02,2.0,300
99,2020-06-03,4.0,300
100,2020-06-04,4.0,300
101,2020-06-05,3.0,300
102,2020-06-06,7.0,300
103,2020-06-07,5.0,300
104,2020-06-08,6.0,300
105,2020-06-09,2.0,300
106,2020-06-10,5.0,300
107,2020-06-11,2.0,300
108,2020-06-12,5.0,300
109,2020-06-13,2.0,300
110,2020-06-14,2.0,300
111,2020-06-15,4.0,300
112,2020-06-16,13.0,300
