0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195
11.19,13.07,10.64,11.19,10.87,11.76,11.98,11.9,12.85,12.22,11.9,11.71,11.67,11.96,10.55,15.93,10.91,10.55,10.66,10.51,10.92,10.76,11.83,10.48,10.76,10.98,11.59,12.49,10.89,11.98,11.19,10.89,11.02,11.42,12.41,11.04,12.12,10.95,11.04,11.3,10.89,12.0,10.71,11.4,10.61,10.71,10.67,10.75,12.42,11.16,11.57,11.66,11.16,10.74,11.22,11.33,13.01,12.85,12.79,13.01,11.63,12.17,12.71,11.18,11.41,11.2,11.18,11.29,10.88,11.56,12.65,16.06,12.39,12.65,11.88,13.35,14.2,12.57,16.51,12.23,12.57,12.1,12.36,12.73,12.72,16.68,11.93,12.72,12.03,14.17,12.68,12.39,16.28,11.63,12.39,12.41,12.54,12.81,11.13,11.56,10.92,11.13,10.99,10.97,11.53,12.48,12.85,13.51,12.48,12.02,12.31,12.56,11.02,12.52,11.36,11.02,10.95,10.7,11.73,12.0,15.93,10.65,12.0,12.15,13.36,12.17,11.89,16.7,12.78,11.89,11.71,11.7,12.06,11.23,16.79,11.16,11.23,11.64,11.59,12.0,11.35,16.74,10.86,11.35,12.13,11.37,12.05,11.44,11.36,11.68,11.44,10.77,11.22,12.29,12.35,12.85,13.32,12.35,11.85,12.65,12.62,11.59,13.53,11.7,11.59,10.66,10.88,11.56,12.2,16.65,11.82,12.2,11.64,12.0,13.83,11.8,16.84,12.5,11.8,11.49,11.53,12.48,11.86,16.78,11.55,11.86,11.58,11.87,12.21,11.84,16.77,11.58,11.84,11.76,11.75,12.17
9.58,9.71,8.98,9.58,9.22,10.35,10.49,9.52,9.95,9.74,9.52,9.61,9.55,9.95,8.82,13.61,9.33,8.82,8.83,8.79,9.37,9.35,8.49,8.98,9.35,9.65,10.21,11.26,9.37,8.66,9.71,9.37,9.61,10.19,11.3,9.57,8.9,9.56,9.57,9.93,9.54,10.8,9.37,8.03,9.07,9.37,9.32,9.51,10.88,10.15,8.2,10.35,10.15,9.66,10.45,10.51,10.61,9.95,10.05,10.61,9.33,10.34,10.83,10.25,8.0,10.07,10.25,10.37,9.98,10.75,11.52,13.01,10.78,11.52,10.2,11.91,12.91,11.35,13.51,10.81,11.35,10.32,10.73,11.27,11.48,13.65,10.24,11.48,10.23,12.7,11.12,10.73,13.28,10.13,10.73,11.16,10.89,11.36,10.06,8.24,9.94,10.06,9.93,10.25,10.81,10.12,9.95,10.68,10.12,9.81,10.2,10.62,9.83,9.23,10.06,9.83,10.03,9.79,11.03,11.18,12.9,10.02,11.18,11.42,12.5,11.59,10.32,13.72,12.62,10.32,11.06,10.7,10.97,10.24,13.81,10.27,10.24,10.86,10.31,10.88,10.3,13.77,10.17,10.3,11.71,9.64,10.85,10.5,7.95,10.59,10.5,9.66,10.5,11.64,9.81,9.95,10.52,9.81,9.58,10.71,10.58,10.61,10.37,10.41,10.61,9.63,10.12,10.8,11.66,13.69,10.76,11.66,10.01,11.27,13.35,10.83,13.82,12.28,10.83,10.52,10.44,12.12,10.93,13.81,10.63,10.93,10.36,11.28,11.7,11.2,13.82,10.74,11.2,10.96,10.78,11.07
9.14,8.95,8.65,9.14,9.17,10.31,10.57,9.31,9.24,9.35,9.31,9.62,9.69,10.27,8.5,11.7,8.68,8.5,8.59,8.91,9.25,9.19,7.31,8.49,9.19,9.84,10.32,11.1,9.18,7.59,9.15,9.18,9.57,10.38,11.13,9.36,7.66,9.2,9.36,10.07,9.51,10.9,9.26,7.65,8.74,9.26,9.28,9.86,10.44,9.77,7.34,9.74,9.77,9.53,10.55,10.47,10.49,9.24,9.56,10.49,9.5,10.8,10.94,9.87,7.26,9.54,9.87,10.26,9.87,10.48,12.09,12.09,11.7,12.09,11.9,13.49,14.6,11.92,12.49,11.79,11.92,11.77,12.05,12.46,11.93,11.97,11.11,11.93,11.68,14.14,12.31,11.79,12.31,11.03,11.79,11.79,11.87,12.34,9.68,7.23,9.51,9.68,9.58,10.29,10.59,10.2,9.24,10.05,10.2,9.97,10.3,10.5,9.45,8.36,9.62,9.45,9.94,9.71,10.97,11.71,11.49,10.94,11.71,12.05,12.83,11.75,11.31,12.82,12.74,11.31,11.56,11.36,11.61,11.45,12.89,11.02,11.45,11.55,11.22,11.51,11.1,12.88,10.95,11.1,12.97,9.37,11.66,9.91,7.12,9.91,9.91,9.56,9.99,11.54,9.56,9.24,10.0,9.56,9.68,11.02,10.48,9.94,9.49,9.79,9.94,9.55,10.1,10.64,12.14,12.7,11.45,12.14,11.03,11.64,13.6,11.62,12.94,12.25,11.62,11.46,11.46,12.65,11.6,12.91,11.4,11.6,11.42,12.21,11.89,11.86,12.83,11.12,11.86,11.6,11.43,11.68
10.54,10.26,9.68,10.54,11.33,12.68,13.18,12.65,11.54,12.01,12.65,12.96,13.69,14.12,10.03,13.81,9.62,10.03,10.26,11.16,11.53,11.32,7.06,9.49,11.32,12.33,12.7,13.4,11.28,7.95,10.41,11.28,11.82,12.91,13.39,11.45,7.69,10.82,11.45,12.46,11.83,13.15,11.26,7.73,9.85,11.26,11.42,12.48,12.64,10.94,7.59,10.52,10.94,10.78,12.78,12.52,13.73,11.54,11.16,13.73,11.99,14.57,13.81,11.25,7.75,10.05,11.25,12.25,11.56,12.08,13.21,13.13,12.15,13.21,13.69,15.45,16.84,12.74,13.47,11.95,12.74,13.19,13.79,14.22,12.83,12.4,11.53,12.83,12.82,15.87,13.99,12.49,13.34,11.11,12.49,12.86,13.0,13.85,10.93,7.58,9.9,10.93,10.67,12.48,12.73,13.24,11.54,11.86,13.24,12.52,13.14,13.75,10.81,9.29,10.44,10.81,11.91,11.25,13.12,11.68,12.77,10.55,11.68,12.1,14.02,12.06,11.61,13.96,12.3,11.61,11.49,11.63,11.97,11.08,13.92,10.48,11.08,11.52,11.55,11.94,10.73,14.0,10.47,10.73,13.39,9.51,12.3,10.9,7.41,10.44,10.9,10.85,11.66,13.74,11.81,11.54,11.87,11.81,12.33,14.97,13.5,10.89,10.4,10.58,10.89,10.87,12.16,12.79,11.85,13.74,11.06,11.85,11.6,11.95,14.36,11.41,13.99,11.83,11.41,11.44,11.76,13.32,11.4,13.98,10.9,11.4,11.56,12.61,12.15,11.49,13.88,10.95,11.49,11.65,11.62,12.06
12.63,11.31,11.54,12.63,13.4,15.02,15.21,16.17,13.06,15.38,16.17,16.39,17.21,17.63,12.22,15.64,11.61,12.22,12.52,13.32,13.54,13.28,7.52,11.3,13.28,14.33,14.75,15.21,13.14,8.5,11.99,13.14,13.55,14.85,15.09,13.24,8.22,12.43,13.24,14.23,13.65,14.67,13.08,8.17,11.21,13.08,13.29,14.4,14.27,12.83,8.17,12.29,12.83,12.84,14.95,14.18,17.61,13.06,14.69,17.61,15.77,18.54,17.49,13.15,8.51,11.68,13.15,14.32,13.66,13.52,14.63,13.82,13.0,14.63,15.12,17.03,18.28,14.02,14.18,12.37,14.02,14.54,15.25,15.42,14.18,13.53,12.25,14.18,14.14,17.45,15.25,13.52,14.03,11.59,13.52,14.23,14.35,14.96,12.79,8.35,11.33,12.79,12.52,14.5,14.37,17.08,13.06,15.42,17.08,16.36,16.98,17.47,12.69,10.1,12.19,12.69,14.02,13.2,14.77,12.56,13.53,10.62,12.56,12.56,16.02,12.92,12.81,14.73,12.18,12.81,12.22,12.65,12.72,11.67,14.66,10.58,11.67,12.32,12.59,12.76,11.24,14.75,10.62,11.24,14.6,10.39,13.35,12.6,8.18,11.93,12.6,12.82,13.61,15.4,15.57,13.06,15.42,15.57,16.15,18.96,17.17,12.75,11.44,12.21,12.75,12.89,14.14,14.49,12.45,14.46,10.98,12.45,13.01,12.96,15.55,12.03,14.75,12.06,12.03,12.23,12.62,14.37,12.1,14.72,10.72,12.1,12.39,13.71,12.78,12.0,14.61,11.46,12.0,12.51,12.49,12.83
14.25,12.82,12.6,14.25,14.97,16.91,16.54,19.2,15.58,18.21,19.2,19.35,20.29,20.11,13.71,15.2,13.1,13.71,14.15,14.72,14.77,14.8,8.76,12.66,14.8,15.67,16.35,16.67,14.8,9.66,13.31,14.8,15.24,16.38,16.52,14.83,9.6,13.74,14.83,15.75,15.29,15.91,14.76,8.64,12.32,14.76,15.08,15.8,16.02,14.3,8.81,13.57,14.3,14.3,16.53,15.3,20.81,15.58,17.42,20.81,18.62,21.67,20.4,14.73,9.1,12.94,14.73,15.98,15.23,14.8,16.86,15.9,14.17,16.86,16.79,18.97,20.09,16.17,16.32,13.56,16.17,16.3,17.22,17.14,16.46,15.6,13.58,16.46,15.84,19.53,17.01,15.22,16.16,12.77,15.22,16.49,16.46,16.77,14.3,9.06,12.45,14.3,14.09,16.09,15.72,19.97,15.58,18.36,19.97,19.29,20.27,20.72,14.21,10.99,13.31,14.21,15.62,14.72,16.01,14.49,15.22,11.48,14.49,14.61,18.77,15.03,14.35,16.91,14.14,14.35,14.27,14.57,14.42,12.78,16.82,11.68,12.78,14.2,14.44,14.43,12.77,16.95,11.63,12.77,16.48,12.74,15.05,14.2,8.89,13.22,14.2,14.26,15.63,16.76,18.66,15.58,18.24,18.66,19.15,22.31,20.35,14.53,12.5,13.43,14.53,14.32,15.73,15.8,14.39,16.67,12.3,14.39,14.74,15.25,17.96,13.65,16.89,14.12,13.65,13.76,14.08,16.52,13.78,16.89,11.86,13.78,14.08,15.74,14.88,13.6,16.81,13.03,13.6,14.47,14.34,14.58
15.12,14.39,12.8,15.12,15.66,17.82,16.89,20.35,16.82,19.0,20.35,20.43,21.23,20.46,14.6,15.14,13.81,14.6,14.95,15.16,15.13,15.83,10.3,13.46,15.83,16.48,17.27,17.32,15.98,11.32,14.02,15.98,16.35,17.28,17.24,15.96,11.27,14.54,15.96,16.68,16.29,16.71,16.07,10.11,12.86,16.07,16.39,16.65,16.78,15.19,10.24,14.24,15.19,15.2,17.44,15.79,21.87,16.82,18.05,21.87,19.46,22.55,20.98,15.69,10.53,13.7,15.69,16.91,16.01,15.26,18.28,17.86,15.23,18.28,17.93,20.39,20.97,17.56,18.41,14.55,17.56,17.5,18.47,18.16,17.85,18.19,14.52,17.85,17.02,20.96,17.93,16.5,18.15,13.74,16.5,18.01,17.78,17.85,15.2,10.38,13.13,15.2,14.93,16.92,16.23,20.88,16.82,19.16,20.88,20.29,21.07,21.43,15.16,12.45,13.96,15.16,16.63,15.47,16.54,15.82,16.89,12.22,15.82,16.05,20.23,16.1,15.64,18.89,15.2,15.64,15.65,15.82,15.45,14.06,18.9,12.62,14.06,15.57,15.63,15.45,13.97,18.94,12.51,13.97,17.94,13.92,16.05,14.93,10.28,13.82,14.93,15.09,16.45,17.31,19.73,16.82,18.87,19.73,20.17,23.29,20.98,15.44,14.07,13.95,15.44,15.21,16.54,16.36,15.71,18.69,13.29,15.71,16.12,16.55,19.12,14.92,18.96,15.16,14.92,15.08,15.28,17.64,15.07,18.94,12.83,15.07,15.31,17.06,15.93,14.83,18.87,14.03,14.83,15.86,15.58,15.61
14.0,12.02,12.77,14.0,14.03,15.9,15.17,16.65,13.05,15.62,16.65,16.56,17.47,16.81,13.78,13.57,13.23,13.78,13.63,14.04,14.03,14.76,10.15,13.13,14.76,15.47,15.8,15.55,14.99,10.55,13.23,14.99,15.29,16.12,15.46,14.97,10.76,13.89,14.97,15.73,14.97,15.4,15.22,10.41,13.01,15.22,15.41,15.91,14.96,14.56,9.86,13.71,14.56,14.49,15.88,14.94,18.16,13.05,16.07,18.16,16.92,18.79,17.87,14.81,9.96,13.63,14.81,15.22,14.99,14.8,18.24,16.19,15.53,18.24,17.28,19.96,20.17,17.67,16.78,15.27,17.67,17.2,18.06,17.7,17.9,16.68,14.68,17.9,17.03,20.97,17.57,16.81,16.51,14.3,16.81,18.19,18.13,17.72,14.47,9.78,13.43,14.47,14.14,15.43,15.05,17.71,13.05,16.67,17.71,17.33,18.18,17.48,14.29,10.65,13.64,14.29,15.02,14.86,15.16,16.66,15.12,14.2,16.66,17.35,20.14,16.98,15.99,17.26,16.61,15.99,16.66,16.55,16.2,15.66,17.3,13.88,15.66,16.51,16.33,16.12,15.04,17.33,14.25,15.04,18.58,14.58,16.54,14.33,9.81,13.58,14.33,14.36,15.32,15.56,17.29,13.05,16.55,17.29,17.23,19.46,17.69,14.87,12.27,13.46,14.87,14.47,15.29,15.06,16.92,17.06,14.35,16.92,16.25,17.3,19.7,16.0,17.34,16.27,16.0,16.05,16.29,18.24,16.06,17.33,14.18,16.06,16.06,17.75,16.9,16.29,17.26,14.86,16.29,16.72,16.42,16.34
13.36,10.71,11.76,13.36,13.04,14.96,14.16,14.51,11.38,13.27,14.51,14.44,14.71,14.26,13.21,13.37,12.34,13.21,12.76,12.86,13.0,14.55,8.95,12.54,14.55,15.36,15.23,15.12,14.77,9.51,12.69,14.77,15.04,15.79,15.24,14.77,9.68,13.56,14.77,15.44,14.62,15.23,15.28,9.44,12.48,15.28,15.38,15.75,14.43,14.06,8.79,12.71,14.06,13.77,15.06,13.88,15.98,11.38,13.63,15.98,14.68,16.16,15.15,14.41,8.8,12.61,14.41,14.52,14.01,13.81,18.44,15.76,15.33,18.44,17.45,20.05,20.09,17.83,16.38,15.04,17.83,17.34,18.08,17.55,18.08,16.25,14.45,18.08,17.15,21.07,17.41,16.85,16.1,14.03,16.85,18.46,18.11,17.57,14.04,8.66,12.37,14.04,13.38,14.66,14.1,15.6,11.38,14.11,15.6,15.17,15.13,14.59,13.87,9.6,12.65,13.87,14.42,13.92,14.22,16.83,14.69,13.98,16.83,17.57,20.21,16.82,16.06,16.9,16.5,16.06,16.82,16.49,15.97,15.69,16.93,13.7,15.69,16.67,16.24,15.88,15.01,16.97,14.02,15.01,18.72,14.16,16.32,13.81,8.61,12.55,13.81,13.54,14.56,14.61,15.07,11.38,13.99,15.07,15.04,16.66,14.74,14.38,11.26,12.43,14.38,13.78,14.45,14.19,17.09,16.67,14.12,17.09,16.3,17.27,19.58,16.05,16.98,16.17,16.05,16.15,16.15,18.1,16.2,16.96,13.99,16.2,16.09,17.74,16.73,16.35,16.9,14.71,16.35,16.89,16.36,16.11
12.54,9.91,10.97,12.54,12.43,14.32,13.57,12.23,9.37,10.74,12.23,12.1,12.56,12.35,12.26,12.35,11.37,12.26,12.11,12.26,12.19,13.66,8.01,11.66,13.66,14.87,14.59,14.57,13.96,8.49,12.03,13.96,14.47,15.16,14.55,14.1,8.53,12.57,14.1,14.87,13.97,14.73,14.31,8.54,11.87,14.31,14.79,15.26,13.64,13.55,8.13,11.84,13.55,13.34,14.6,13.33,13.88,9.37,11.03,13.88,12.54,14.17,12.89,13.85,8.18,11.58,13.85,14.25,13.56,13.24,18.52,15.09,16.03,18.52,18.84,21.09,21.36,18.0,15.62,15.78,18.0,18.63,19.16,18.52,18.17,14.73,15.23,18.17,18.41,22.15,18.46,17.82,15.39,14.71,17.82,18.64,19.04,18.45,13.51,8.1,11.39,13.51,13.11,14.23,13.61,13.58,9.37,11.39,13.58,12.88,13.03,12.28,13.31,9.07,11.78,13.31,14.23,13.49,13.72,17.06,14.26,14.03,17.06,18.0,19.36,16.86,16.85,16.29,15.57,16.85,17.07,17.11,16.67,16.2,16.23,14.16,16.2,17.1,17.11,16.54,15.7,16.34,13.97,15.7,19.76,14.22,17.1,13.52,8.01,11.72,13.52,13.27,14.09,14.02,12.72,9.37,11.45,12.72,12.77,14.59,12.44,13.67,10.76,11.76,13.67,13.44,14.05,13.67,17.27,15.91,14.72,17.27,17.23,17.44,18.58,16.73,16.32,15.23,16.73,16.64,16.8,18.24,16.68,16.29,14.48,16.68,17.11,18.34,16.81,16.49,16.18,14.71,16.49,17.25,16.98,16.82
