0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195
15.19,20.03,14.22,15.19,15.56,17.21,17.73,19.2,21.32,18.92,19.2,19.05,19.41,19.85,14.6,24.5,14.51,14.6,14.71,14.83,15.51,15.56,15.09,14.07,15.56,16.49,16.75,17.81,15.69,15.87,14.98,15.69,15.97,16.56,17.23,15.78,15.61,15.2,15.78,16.49,15.46,17.07,15.45,15.15,14.18,15.45,15.56,15.93,16.87,14.68,15.22,14.84,14.68,14.23,15.79,15.62,19.72,21.32,17.78,19.72,17.51,19.49,19.01,14.97,15.47,14.23,14.97,15.69,14.56,15.13,15.6,21.37,14.95,15.6,15.24,16.38,17.67,15.41,21.97,14.75,15.41,15.2,15.56,16.19,15.59,21.69,14.71,15.59,14.94,16.91,16.02,15.14,21.51,14.32,15.14,15.26,15.27,16.04,14.73,15.24,13.89,14.73,14.27,15.32,15.83,18.94,21.32,18.6,18.94,17.99,18.05,19.77,14.79,17.47,14.67,14.79,15.41,14.17,16.26,14.42,21.24,13.43,14.42,14.54,16.28,14.76,14.46,22.28,15.4,14.46,14.11,14.12,14.6,13.72,22.26,13.68,13.72,14.03,14.07,14.58,13.86,22.32,13.53,13.86,14.42,13.77,14.7,14.69,15.05,14.6,14.69,14.29,14.65,16.88,17.97,21.32,18.37,17.97,17.99,20.0,19.12,14.71,19.57,14.87,14.71,14.26,14.97,15.97,14.61,21.97,14.39,14.61,14.27,14.41,16.64,14.23,22.33,15.12,14.23,13.9,13.99,15.0,14.25,22.28,14.16,14.25,14.02,14.19,14.76,14.25,22.28,14.11,14.25,14.14,14.16,14.7
11.58,14.15,10.95,11.58,11.46,13.16,13.45,13.12,14.46,12.9,13.12,13.12,13.56,13.94,10.78,23.54,11.2,10.78,10.87,10.96,11.63,11.77,11.06,10.84,11.77,12.4,12.97,14.05,11.85,11.07,11.54,11.85,12.09,12.89,13.77,11.98,11.22,11.6,11.98,12.59,11.94,13.33,11.79,10.4,10.91,11.79,11.66,12.15,13.42,11.98,10.52,12.3,11.98,11.5,12.66,12.64,14.0,14.46,12.9,14.0,12.24,14.05,13.7,12.14,10.53,11.94,12.14,12.52,11.84,12.57,13.68,16.62,12.74,13.68,12.71,14.33,15.69,13.56,17.26,12.92,13.56,12.87,13.38,13.88,13.74,17.1,12.56,13.74,12.89,15.35,13.81,13.22,16.86,12.33,13.22,13.32,13.64,13.91,11.88,10.69,11.74,11.88,11.59,12.36,12.88,13.26,14.46,13.53,13.26,12.69,12.91,14.23,11.65,12.28,12.0,11.65,12.13,11.53,13.16,13.3,16.64,12.18,13.3,13.57,15.26,13.78,12.67,17.55,14.82,12.67,13.22,13.06,13.28,12.65,17.58,12.53,12.65,13.05,12.9,13.13,12.89,17.66,12.21,12.89,13.68,11.74,13.21,12.28,10.33,12.41,12.28,11.46,12.36,13.85,12.76,14.46,13.31,12.76,12.6,14.58,13.62,12.49,14.3,12.3,12.49,11.45,12.09,12.92,13.91,17.29,13.11,13.91,12.32,13.49,16.03,13.24,17.64,14.58,13.24,12.69,12.83,14.0,13.2,17.6,12.93,13.2,12.8,13.35,13.8,13.43,17.58,12.63,13.43,13.11,13.16,13.44
11.08,13.61,10.39,11.08,11.49,13.86,14.13,12.8,13.79,12.16,12.8,13.29,13.96,14.54,10.59,19.87,10.56,10.59,10.72,11.22,11.74,12.07,9.22,10.6,12.07,13.41,13.86,14.72,12.2,9.58,11.2,12.2,12.77,14.01,14.27,12.34,9.51,11.61,12.34,13.43,12.6,14.13,12.11,9.26,10.82,12.11,12.57,13.56,13.59,11.75,9.21,11.54,11.75,11.44,13.45,12.86,13.81,13.79,11.93,13.81,12.18,14.76,13.73,12.01,9.37,11.27,12.01,12.8,12.04,12.36,13.84,15.88,13.29,13.84,13.89,16.25,17.69,13.54,16.53,13.28,13.54,13.68,14.37,14.8,13.7,15.91,12.69,13.7,13.66,17.3,14.63,13.54,15.99,12.38,13.54,13.55,14.24,14.61,11.62,9.25,11.18,11.62,11.26,12.94,13.07,13.17,13.79,12.34,13.17,12.66,12.9,14.24,11.41,11.53,11.42,11.41,12.58,11.65,13.55,13.27,15.58,12.42,13.27,13.57,15.17,13.94,13.06,16.9,13.98,13.06,13.3,13.45,13.71,13.17,16.88,12.56,13.17,13.28,13.5,13.52,12.94,16.99,12.29,12.94,14.54,11.39,13.81,11.79,9.07,11.51,11.79,11.41,12.26,14.22,12.13,13.79,12.28,12.13,12.51,15.19,13.42,11.87,14.12,11.49,11.87,11.51,12.53,13.22,13.93,16.45,12.89,13.93,12.87,13.68,15.73,13.4,16.95,13.73,13.4,13.1,13.58,14.36,13.27,16.9,12.76,13.27,13.29,13.87,13.86,13.5,16.87,12.41,13.5,13.3,13.55,13.86
12.81,16.65,11.31,12.81,14.02,17.11,17.35,16.34,17.7,14.98,16.34,16.87,18.18,18.62,12.35,24.58,11.57,12.35,12.72,13.64,13.99,14.36,9.43,11.63,14.36,16.46,16.98,17.71,14.54,10.74,12.64,14.54,15.49,17.13,16.96,14.71,10.25,13.32,14.71,16.36,15.2,16.99,14.32,10.26,12.02,14.32,15.2,16.59,15.95,13.24,10.21,12.37,13.24,13.04,16.2,14.98,17.21,17.7,13.33,17.21,14.75,18.73,16.8,13.69,10.72,11.79,13.69,15.21,14.01,14.04,14.87,18.19,13.97,14.87,15.52,18.38,19.91,14.35,18.94,13.57,14.35,15.05,16.04,16.57,14.54,18.03,13.04,14.54,14.78,19.26,16.27,14.26,18.24,12.5,14.26,14.62,15.35,16.16,13.17,10.21,11.55,13.17,12.78,15.44,15.24,16.35,17.7,14.1,16.35,15.34,15.99,17.76,13.09,13.66,12.36,13.09,15.0,13.42,15.98,13.15,17.9,11.91,13.15,13.64,16.01,14.14,13.39,19.38,13.41,13.39,13.11,13.59,14.1,12.92,19.3,11.92,12.92,13.18,13.69,13.96,12.53,19.44,11.8,12.53,15.18,11.14,14.45,13.02,10.12,12.03,13.02,13.08,13.92,16.77,14.43,17.7,14.07,14.43,15.28,19.37,16.64,12.93,16.85,12.36,12.93,13.22,14.83,15.5,13.56,18.74,12.46,13.56,13.49,13.82,16.21,13.12,19.37,13.01,13.12,13.1,13.83,15.03,13.0,19.33,12.26,13.0,13.35,14.26,14.04,13.14,19.31,12.1,13.14,13.28,13.63,14.27
15.45,19.5,13.16,15.45,16.91,20.54,20.42,20.49,20.93,18.84,20.49,21.11,22.52,22.72,15.01,27.76,13.72,15.01,15.49,16.39,16.61,17.12,10.57,13.61,17.12,19.54,20.14,20.6,17.26,12.43,14.69,17.26,18.37,20.16,19.63,17.41,11.7,15.48,17.41,19.3,17.94,19.6,16.94,11.28,13.69,16.94,18.04,19.48,18.45,15.63,11.77,14.2,15.63,15.51,19.24,17.34,21.67,20.93,16.78,21.67,18.74,23.38,20.79,16.24,12.43,13.44,16.24,18.16,16.66,16.16,16.23,20.52,14.67,16.23,17.13,19.9,21.16,15.61,21.39,13.98,15.61,16.56,17.69,18.04,15.83,20.52,13.82,15.83,16.1,20.53,17.66,15.36,20.52,13.08,15.36,16.07,16.69,17.54,15.6,11.83,13.02,15.6,15.23,18.33,17.72,20.67,20.93,17.74,20.67,19.5,20.2,21.91,15.59,15.93,14.17,15.59,17.95,15.87,18.56,14.06,20.18,11.88,14.06,14.38,17.68,15.0,14.52,21.8,13.58,14.52,13.92,14.58,14.97,13.44,21.73,12.07,13.44,14.03,14.67,14.87,13.07,21.88,11.88,13.07,16.79,12.38,15.52,15.27,11.75,13.65,15.27,15.52,16.51,19.45,18.32,20.93,17.68,18.32,19.43,24.07,20.71,15.2,19.59,14.11,15.2,15.73,17.6,18.05,14.25,21.04,12.66,14.25,14.89,14.8,17.3,13.82,21.81,13.36,13.82,13.88,14.53,16.28,13.76,21.74,12.31,13.76,14.26,15.53,14.82,13.63,21.74,12.62,13.63,14.2,14.48,15.16
18.58,23.1,15.38,18.58,20.08,24.15,23.45,25.73,25.95,23.79,25.73,26.47,27.73,27.32,17.95,27.58,16.36,17.95,18.56,19.22,19.19,20.03,13.03,15.9,20.03,22.6,23.33,23.52,20.19,14.95,17.14,20.19,21.4,23.19,22.44,20.3,14.17,17.87,20.3,22.28,20.82,22.21,19.79,12.88,15.67,19.79,20.99,22.27,21.24,18.2,13.85,16.36,18.2,18.08,22.14,19.49,27.0,25.95,21.15,27.0,23.59,28.72,25.43,18.94,14.44,15.38,18.94,21.12,19.3,18.28,18.77,23.69,16.41,18.77,19.55,22.28,23.09,18.12,24.65,15.59,18.12,19.03,20.25,20.24,18.4,23.8,15.78,18.4,18.42,22.8,19.83,17.68,23.71,14.86,17.68,18.71,19.2,19.76,18.22,13.98,14.71,18.22,17.85,21.14,20.07,25.73,25.95,22.4,25.73,24.6,25.15,26.92,18.24,18.45,16.16,18.24,20.86,18.36,20.92,16.43,23.25,12.91,16.43,16.66,20.63,17.11,16.85,25.04,15.46,16.85,16.23,16.94,17.0,15.12,25.02,13.64,15.12,16.31,16.94,16.93,15.03,25.2,13.11,15.03,19.4,15.14,17.61,17.87,13.8,15.71,17.87,18.05,19.4,21.96,23.2,25.95,22.17,23.2,24.53,29.48,25.54,17.88,22.4,16.22,17.88,18.28,20.32,20.42,16.5,24.25,14.39,16.5,17.46,17.22,19.7,15.99,25.09,15.46,15.99,15.95,16.42,18.58,15.99,25.02,13.84,15.99,16.5,18.04,16.91,15.54,25.02,14.53,15.54,16.54,16.73,17.22
20.78,25.71,16.89,20.78,22.42,26.85,25.74,28.43,28.3,26.1,28.43,29.31,30.35,29.65,20.14,26.48,18.18,20.14,20.83,21.27,21.06,22.48,14.76,17.72,22.48,25.29,25.92,25.87,22.67,17.03,19.07,22.67,23.98,25.7,24.66,22.74,16.16,19.94,22.74,24.88,23.13,24.36,22.29,14.46,17.29,22.29,23.56,24.69,23.41,20.19,15.83,18.06,20.19,20.14,24.48,21.13,29.79,28.3,22.88,29.79,25.96,31.48,27.56,21.08,16.41,16.95,21.08,23.57,21.29,19.74,20.8,26.45,17.72,20.8,21.52,23.93,24.31,20.14,27.51,16.74,20.14,21.02,22.19,21.88,20.48,26.72,17.28,20.48,20.3,24.28,21.41,19.44,26.46,16.26,19.44,20.9,21.0,21.39,20.31,15.97,16.11,20.31,19.87,23.35,21.83,28.34,28.3,24.31,28.34,27.18,27.33,29.24,20.45,20.84,17.81,20.45,23.28,20.23,22.76,18.3,25.93,14.01,18.3,18.45,23.13,18.75,18.75,27.91,16.99,18.75,18.18,18.72,18.49,16.56,27.9,14.9,16.56,18.23,18.67,18.44,16.51,28.08,14.32,16.51,21.21,17.11,19.15,19.76,15.75,17.26,19.76,20.06,21.43,23.9,25.49,28.3,24.0,25.49,27.09,32.25,27.64,19.86,25.13,17.84,19.86,20.35,22.4,22.26,18.27,27.06,15.63,18.27,19.59,19.09,21.66,17.63,27.99,17.22,17.63,17.73,17.91,20.16,17.74,27.89,14.97,17.74,18.31,19.77,18.46,17.12,27.9,16.15,17.12,18.5,18.44,18.71
19.66,22.79,16.83,19.66,20.89,24.54,23.5,25.6,24.9,23.45,25.6,26.21,27.08,26.47,19.13,22.55,17.55,19.13,19.59,20.06,19.79,21.18,14.35,17.22,21.18,23.55,23.95,23.75,21.29,15.73,18.12,21.29,22.39,23.91,22.82,21.36,15.23,19.01,21.36,23.23,21.67,22.62,21.2,14.25,17.01,21.2,22.06,23.18,21.64,19.49,14.81,17.6,19.49,19.49,22.85,20.15,27.03,24.9,21.58,27.03,24.04,28.34,25.1,20.16,15.22,16.98,20.16,22.09,20.32,19.22,21.63,23.79,18.73,21.63,21.76,24.13,24.46,21.11,24.78,18.29,21.11,21.46,22.45,22.13,21.39,24.07,18.27,21.39,21.13,24.88,21.82,20.45,23.84,17.69,20.45,21.71,21.83,21.84,19.51,14.9,16.52,19.51,19.19,21.97,20.59,25.87,24.9,22.56,25.87,24.96,25.03,26.21,19.52,18.62,17.48,19.52,21.78,19.57,21.34,20.1,23.29,17.26,20.1,20.46,24.15,20.78,20.03,25.19,19.64,20.03,20.28,20.45,20.29,19.23,25.18,17.41,19.23,20.25,20.39,20.13,18.69,25.33,17.29,18.69,22.47,17.98,20.62,19.14,14.72,17.14,19.14,19.37,20.45,22.28,23.73,24.9,22.33,23.73,24.9,29.02,25.08,19.34,22.45,17.41,19.34,19.62,21.2,20.91,20.57,24.43,17.73,20.57,20.47,20.92,23.42,19.67,25.25,19.66,19.67,19.84,20.13,21.67,19.74,25.18,17.43,19.74,20.05,21.32,20.56,19.76,25.18,18.08,19.76,20.42,20.39,20.46
17.59,20.02,14.73,17.59,18.65,22.07,20.93,21.35,20.82,19.13,21.35,21.94,22.34,21.82,17.07,22.72,15.44,17.07,17.46,17.65,17.4,19.48,12.5,15.41,19.48,21.75,21.85,21.64,19.67,13.58,16.29,19.67,20.71,21.96,20.89,19.75,13.3,17.27,19.75,21.55,19.78,20.69,19.76,12.26,15.33,19.76,20.46,21.31,19.74,18.06,12.77,15.98,18.06,18.05,20.95,18.32,22.77,20.82,17.46,22.77,19.69,23.56,20.33,18.72,13.02,15.49,18.72,20.52,18.59,17.63,21.74,22.13,18.6,21.74,21.71,23.94,24.22,21.3,23.16,18.41,21.3,21.53,22.3,21.88,21.59,22.46,18.22,21.59,21.36,24.95,21.66,20.71,22.23,17.74,20.71,21.91,22.0,21.73,18.07,12.86,15.1,18.07,17.77,20.16,18.76,21.63,20.82,18.25,21.63,20.62,20.14,21.27,18.02,16.4,15.83,18.02,20.18,17.93,19.43,20.7,21.55,17.7,20.7,21.22,24.35,21.4,20.41,23.61,20.23,20.41,21.07,21.01,20.84,19.93,23.62,17.91,19.93,21.01,20.95,20.61,19.31,23.76,17.66,19.31,23.04,17.89,21.01,17.8,12.63,15.66,17.8,17.9,18.92,20.34,19.48,20.82,18.05,19.48,20.52,24.19,20.15,18.09,20.35,15.78,18.09,18.17,19.42,19.05,21.44,22.85,18.16,21.44,20.79,21.5,23.87,20.41,23.69,20.22,20.41,20.46,20.68,22.06,20.43,23.62,17.89,20.43,20.75,21.82,21.2,20.51,23.61,18.36,20.51,21.14,21.02,21.0
15.5,17.29,12.76,15.5,16.44,19.5,18.5,17.68,17.03,15.17,17.68,18.12,18.37,18.0,14.97,19.38,13.2,14.97,15.2,15.37,15.11,17.6,10.63,13.5,17.6,19.83,19.57,19.38,17.86,11.12,14.33,17.86,18.83,19.9,18.76,18.03,10.99,15.22,18.03,19.69,17.76,18.78,17.9,10.57,13.79,17.9,18.65,19.37,17.53,16.64,10.67,14.1,16.64,16.54,19.02,16.69,19.34,17.03,13.94,19.34,16.19,19.75,16.53,17.19,10.88,13.75,17.19,18.78,16.94,16.25,21.26,19.88,18.79,21.26,21.92,24.34,24.8,20.84,20.9,18.8,20.84,21.66,22.23,21.67,21.05,19.92,18.19,21.05,21.62,25.68,21.57,20.92,19.99,17.77,20.92,21.36,22.1,21.54,16.55,10.71,13.61,16.55,16.29,18.34,17.04,18.23,17.03,14.52,18.23,17.04,16.45,17.29,16.33,13.99,14.01,16.33,18.54,16.43,17.63,20.55,19.34,17.77,20.55,21.33,22.66,21.09,20.43,21.43,19.45,20.43,20.94,21.07,20.95,20.38,21.42,18.1,20.38,20.99,21.19,20.65,19.67,21.56,17.57,19.67,23.52,17.18,21.05,16.52,10.55,13.94,16.52,16.48,17.31,18.4,16.01,17.03,14.41,16.01,16.93,20.35,16.33,16.58,17.99,14.0,16.58,16.71,17.72,17.26,21.46,20.58,18.4,21.46,20.65,21.27,22.49,20.72,21.5,19.17,20.72,20.51,21.06,21.82,20.53,21.43,18.17,20.53,21.07,21.99,20.99,20.62,21.38,17.89,20.62,21.03,21.18,21.11
