0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
16.68,16.9,16.42,16.34,16.91,15.88,15.8,15.82,15.07,15.7,12.09,16.57,16.99,16.53,16.47,17.42,15.47,16.99,15.42,15.89,17.63,13.27,16.74,17.35,16.89,16.53,17.78,12.82,16.76,12.34,16.77,18.73,12.73,16.88,16.79,17.04,16.04,17.39,15.19,17.09,15.28,16.13,19.7,13.78,16.67,17.1,16.5,16.47,17.33,15.52,17.05,12.02,15.73,20.63,14.64
13.69,14.01,13.55,13.56,14.28,13.61,12.85,13.45,12.9,14.69,9.88,13.57,13.93,13.52,12.63,14.19,13.55,13.94,13.09,14.04,17.11,11.18,13.75,14.31,13.93,12.39,14.91,10.92,13.2,10.29,15.07,18.59,11.06,13.92,13.72,14.09,12.28,14.44,13.88,13.78,13.8,14.44,19.65,12.39,13.65,14.02,13.56,13.08,14.06,14.1,13.68,10.49,14.22,20.5,13.32
12.78,12.91,12.51,12.7,13.92,12.84,12.92,12.43,12.78,13.06,11.12,12.65,12.99,12.29,12.26,13.13,12.81,14.03,12.24,14.04,16.07,12.39,12.75,13.37,12.8,12.18,13.29,9.81,12.8,8.21,14.94,17.76,12.74,12.95,12.73,12.94,12.11,13.37,12.58,12.99,11.68,14.3,18.7,13.86,12.71,13.05,12.32,12.8,13.28,12.82,12.55,8.17,15.19,19.19,14.72
13.8,13.67,13.36,13.68,15.43,13.87,14.93,13.35,14.38,14.37,11.79,13.65,13.55,13.21,14.07,14.53,13.85,15.55,13.69,15.79,18.21,13.69,13.75,13.98,13.83,13.98,14.69,9.28,14.28,7.96,16.31,20.07,14.35,13.98,13.31,13.92,13.8,14.68,13.69,14.49,12.28,15.94,20.67,16.04,13.74,13.62,13.22,14.12,14.21,13.98,13.79,7.39,17.15,20.81,16.79
14.53,13.91,13.99,14.17,16.52,14.94,16.17,13.87,14.69,15.43,13.44,14.36,13.97,13.87,15.15,15.97,14.87,16.45,14.94,16.39,19.37,15.4,14.52,14.44,14.51,15.02,16.24,10.05,15.36,8.38,16.66,21.39,16.28,14.72,13.76,14.59,14.71,16.25,15.0,15.8,12.95,16.31,21.64,17.97,14.48,14.09,13.85,15.24,16.32,15.16,15.09,8.18,17.25,21.47,18.44
16.69,16.0,16.28,15.84,18.68,17.58,17.98,15.55,15.82,17.77,14.68,16.49,15.86,16.28,16.68,18.84,17.59,17.9,16.66,17.89,21.88,16.74,16.71,16.35,16.96,16.73,19.38,12.4,17.71,10.88,18.38,23.92,17.75,16.92,15.62,17.04,16.23,19.32,17.79,18.41,16.0,18.11,23.79,19.79,16.62,15.97,16.3,16.97,18.86,18.17,18.2,10.91,18.4,23.4,19.97
18.76,18.16,18.4,17.88,20.61,19.82,20.01,17.33,17.25,18.78,16.02,18.55,18.23,18.42,18.31,21.1,20.49,20.51,18.11,19.49,23.02,17.93,18.85,18.74,19.06,18.2,21.47,14.68,20.15,13.83,19.93,24.77,18.97,19.0,17.97,19.18,17.81,21.24,20.32,20.53,19.3,19.63,24.49,20.79,18.69,18.38,18.43,18.3,21.32,20.61,20.43,13.68,18.86,23.79,20.61
17.15,16.63,16.72,16.71,18.87,18.17,17.82,16.54,16.42,18.16,15.67,16.94,16.52,16.83,16.72,19.21,19.31,18.95,16.86,18.31,21.63,16.78,17.2,17.08,17.54,17.07,19.57,15.44,18.5,15.72,18.92,23.08,17.58,17.39,16.22,17.66,16.34,19.29,18.95,19.05,18.76,18.58,22.53,18.6,17.04,16.64,16.87,16.71,18.78,19.4,18.9,15.62,17.67,21.87,18.45
16.78,16.14,16.37,17.04,18.3,17.64,17.19,16.36,16.47,17.72,15.59,16.55,16.23,16.47,17.11,18.28,18.81,18.59,16.14,17.95,21.31,16.71,16.83,16.82,17.23,17.0,18.82,15.05,18.2,14.75,18.83,22.42,17.36,17.02,15.93,17.35,16.48,18.55,19.23,18.97,17.91,18.28,21.59,18.11,16.65,16.37,16.52,17.09,18.57,19.53,18.77,15.09,17.91,21.23,17.76
16.09,15.45,15.75,16.66,17.48,16.59,17.0,15.49,16.9,17.72,15.56,15.84,15.36,15.9,17.39,17.17,17.0,18.08,15.25,18.18,21.2,16.87,16.02,16.02,16.8,17.54,17.65,13.21,17.71,12.14,19.04,21.74,17.65,16.29,15.08,16.86,17.07,17.1,17.33,18.51,15.32,18.67,20.64,17.87,15.92,15.47,15.93,17.66,16.55,17.55,18.55,12.3,19.53,20.91,17.48
