0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
22.08,21.9,21.35,21.82,22.91,21.28,21.48,20.89,20.75,19.48,15.57,21.84,21.92,21.43,23.23,23.39,21.32,22.98,20.82,21.73,22.68,16.86,22.16,22.71,22.35,23.7,23.96,16.3,23.15,16.43,22.58,24.12,16.5,22.26,21.81,22.5,23.01,23.79,21.95,24.0,21.5,22.24,25.21,17.65,21.83,22.3,21.52,23.55,23.58,22.44,24.19,16.91,20.55,26.51,18.57
17.39,17.53,16.96,17.06,18.75,17.21,16.99,16.26,16.15,17.78,12.93,17.15,17.45,16.89,17.42,18.68,17.92,18.37,16.17,17.5,20.19,14.51,17.47,18.17,17.71,17.4,19.31,14.41,18.17,13.31,18.42,22.21,14.33,17.6,17.31,17.88,16.97,19.2,18.67,18.98,18.21,17.96,23.09,15.7,17.2,17.73,16.91,18.05,18.57,19.01,19.13,14.6,17.84,24.79,16.53
16.68,16.47,16.09,16.77,18.83,16.97,17.1,16.14,16.58,16.12,14.17,16.35,16.46,15.98,17.22,17.62,17.62,18.29,16.27,18.42,19.78,15.8,16.74,17.44,17.15,17.41,18.0,12.42,17.14,10.13,19.19,22.09,16.19,16.84,16.36,17.28,16.69,17.92,18.14,17.95,16.51,18.69,22.82,17.53,16.32,16.88,16.11,17.61,17.67,18.42,17.78,10.93,19.97,24.54,18.14
19.07,18.12,18.01,19.34,21.8,19.8,20.17,19.06,19.58,17.04,14.68,18.65,17.93,17.71,20.37,20.24,20.12,20.99,19.35,21.67,22.49,16.87,19.14,19.27,19.22,20.53,20.5,12.26,19.63,9.99,22.33,24.98,17.55,19.22,17.92,19.35,19.59,20.16,20.31,20.47,17.64,21.79,25.6,19.19,18.52,18.58,17.93,20.63,19.42,20.8,20.17,9.97,22.97,26.9,19.75
21.49,19.79,20.15,21.77,24.24,22.69,22.47,21.51,22.06,18.62,15.84,20.96,19.73,19.97,22.95,23.6,22.26,23.15,21.74,24.12,25.03,18.28,21.6,21.28,21.69,23.04,23.91,13.04,21.78,10.37,24.7,27.59,19.19,21.61,19.76,21.8,21.94,23.75,22.55,22.64,19.08,23.94,27.75,21.05,20.81,20.51,20.24,23.34,23.45,22.85,22.26,10.68,24.02,28.55,21.31
24.76,22.75,23.51,24.64,27.26,26.25,25.44,24.41,25.04,21.66,17.71,24.18,22.67,23.41,25.9,27.64,25.62,25.89,24.42,27.0,28.43,20.53,24.9,24.33,25.17,26.22,28.12,15.66,24.88,13.3,27.53,30.84,21.48,24.89,22.69,25.27,24.81,27.94,25.62,25.63,23.1,26.69,30.41,23.48,24.05,23.48,23.65,26.19,27.21,26.17,25.48,13.61,25.07,30.56,23.35
27.64,25.95,26.41,27.08,29.73,29.18,27.82,27.29,28.15,23.84,19.76,27.0,25.95,26.3,28.26,30.17,29.02,28.65,27.05,29.86,31.16,22.71,27.81,27.73,28.15,28.27,30.77,17.79,27.36,16.34,30.33,33.22,23.67,27.77,25.94,28.25,27.18,30.54,28.86,28.21,27.51,29.52,32.3,25.56,26.87,26.8,26.55,28.25,30.11,29.3,28.16,16.2,26.78,31.96,25.02
24.94,23.49,23.85,24.36,26.81,26.33,25.29,25.22,26.02,23.04,20.26,24.37,23.42,23.68,25.37,26.9,26.71,26.31,24.99,27.54,29.15,22.55,25.09,25.01,25.37,25.52,27.46,17.94,25.19,17.92,28.18,30.81,23.54,25.09,23.36,25.47,24.44,27.12,26.58,26.2,26.18,27.41,29.9,24.89,24.24,24.15,23.92,25.04,26.45,27.13,26.11,17.92,24.95,29.49,24.28
23.38,21.72,22.23,23.01,24.99,24.55,23.67,23.59,24.87,22.49,20.05,22.81,21.75,21.96,23.88,24.15,25.48,25.06,23.3,26.11,28.05,22.18,23.52,23.29,23.65,23.46,24.78,17.93,24.4,17.1,26.88,29.12,23.17,23.55,21.62,23.76,22.78,24.53,26.06,25.48,24.34,26.38,28.04,24.14,22.71,22.39,22.19,23.89,24.35,26.65,25.5,17.8,25.55,27.99,23.45
21.16,19.25,20.11,21.21,22.85,22.06,22.53,21.3,23.57,21.17,19.53,20.58,19.18,20.01,22.85,21.79,22.76,23.95,21.1,24.76,26.08,21.47,21.24,20.78,21.8,23.16,22.34,16.07,23.66,14.38,25.41,26.4,22.6,21.33,19.1,21.91,22.24,21.59,23.21,24.52,20.75,25.19,25.3,22.94,20.45,19.85,20.23,23.23,21.03,23.7,24.71,15.39,26.21,25.96,22.29
