0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249
27.98;30.02;33.87;33.49;35.67;34.98;35.13;35.33;35.63;35.68;20.6;20.51;20.6;20.21;19.78;19.46;19.61;19.2;19.16;19.2;19.28;18.79;19.25;19.27;19.61;19.11;18.95;19.0;19.21;19.1;21.86;21.43;21.75;21.22;20.86;21.08;20.96;20.9;21.13;20.92;22.68;22.9;22.41;22.92;22.21;22.6;22.11;22.22;22.02;22.0;23.17;23.53;22.81;22.8;22.86;22.78;22.56;22.36;22.61;22.47;23.27;22.98;22.83;22.88;22.71;22.63;22.69;22.64;22.83;22.81;23.3;23.32;22.96;23.02;22.85;23.0;23.22;22.83;22.9;22.69;23.35;23.14;23.17;23.19;23.33;23.04;23.12;23.03;23.13;23.07;23.34;23.19;23.1;23.48;23.41;23.32;22.77;23.25;23.4;23.39;23.4;23.15;23.08;23.67;23.5;23.45;23.05;23.12;23.2;23.28;23.43;23.37;23.35;23.62;23.6;23.44;23.52;23.21;23.21;23.56;23.48;23.65;23.52;23.55;23.67;23.26;23.53;23.56;23.46;23.4;23.48;23.59;23.64;23.37;23.72;23.43;23.24;23.37;23.35;23.39;23.5;23.71;23.52;23.71;23.45;23.43;23.32;23.3;23.38;23.36;23.53;23.69;23.56;23.62;23.4;23.14;23.48;23.24;23.25;23.32;23.55;23.82;23.49;23.64;23.6;23.36;23.53;23.32;23.33;23.32;23.53;23.9;23.61;23.51;23.62;23.32;23.48;23.4;23.37;23.32;23.59;23.92;23.61;23.64;23.41;23.41;23.37;23.31;23.34;23.34;23.59;23.98;23.74;23.66;23.48;23.44;23.4;23.27;23.18;23.45;23.63;24.06;23.67;23.62;23.68;23.41;23.47;23.38;23.42;23.46;23.65;24.05;23.74;23.71;23.56;23.46;23.46;23.43;23.47;23.48;23.67;24.12;23.78;23.69;23.46;23.5;23.48;23.42;23.46;23.49;23.71;24.15;23.78;23.8;23.7;23.46;23.43;23.46;23.46;23.35;23.72;24.13;23.77;23.69;23.65;23.49;23.49;23.4;23.32;23.47
29.12;31.19;35.41;34.89;37.12;36.42;36.58;36.76;37.14;37.19;18.99;18.95;19.22;18.48;18.1;17.64;17.83;17.34;17.15;17.18;14.59;14.15;14.76;14.8;15.28;14.6;14.44;14.69;14.87;14.75;16.7;16.42;16.71;16.1;15.82;16.04;16.02;15.91;16.07;15.9;17.42;17.66;17.28;17.76;17.17;17.51;17.03;17.1;16.92;16.91;17.88;18.23;17.5;17.48;17.5;17.53;17.31;17.05;17.33;17.21;17.86;17.56;17.54;17.47;17.27;17.2;17.26;17.24;17.45;17.49;17.83;17.92;17.56;17.49;17.38;17.57;17.82;17.4;17.46;17.25;17.83;17.64;17.71;17.67;17.89;17.58;17.69;17.59;17.66;17.65;17.77;17.7;17.56;17.96;17.91;17.82;17.22;17.77;17.93;17.93;17.83;17.62;17.5;18.2;17.96;17.96;17.52;17.54;17.61;17.73;17.84;17.86;17.73;18.1;18.07;17.93;18.01;17.63;17.64;18.06;17.88;18.16;17.91;18.07;18.16;17.7;17.99;18.04;17.91;17.83;17.86;18.1;18.04;17.84;18.22;17.89;17.67;17.8;17.75;17.83;17.87;18.21;17.93;18.22;17.9;17.9;17.77;17.74;17.81;17.79;17.9;18.18;18.0;18.15;17.86;17.6;17.94;17.68;17.7;17.76;17.91;18.31;17.91;18.16;18.07;17.82;18.01;17.78;17.79;17.77;17.88;18.4;18.05;18.03;18.1;17.77;17.95;17.86;17.83;17.78;17.94;18.43;18.07;18.18;17.91;17.88;17.84;17.79;17.8;17.83;17.94;18.48;18.22;18.19;17.98;17.9;17.88;17.75;17.65;17.94;17.98;18.57;18.14;18.15;18.19;17.89;17.96;17.86;17.89;17.94;17.99;18.56;18.22;18.25;18.08;17.96;17.96;17.92;17.96;17.99;18.01;18.64;18.26;18.25;17.98;17.99;17.98;17.91;17.96;17.98;18.05;18.67;18.29;18.36;18.23;17.96;17.93;17.98;17.96;17.87;18.05;18.64;18.28;18.23;18.18;18.0;18.0;17.91;17.82;18.0
30.44;32.31;36.32;36.13;38.24;37.71;37.85;38.07;38.54;38.59;21.54;21.82;22.02;21.49;21.03;20.71;20.85;20.41;20.21;20.25;17.58;17.42;17.93;18.07;18.52;17.76;17.66;17.85;18.08;17.92;19.15;19.06;19.35;18.88;18.57;18.88;18.92;18.79;18.73;18.68;19.71;20.17;19.63;20.09;19.54;19.86;19.52;19.54;19.38;19.43;20.03;20.47;19.75;19.74;19.76;19.86;19.57;19.51;19.71;19.65;19.96;19.66;19.62;19.58;19.37;19.19;19.28;19.38;19.58;19.59;19.88;19.82;19.4;19.38;19.22;19.42;19.6;19.26;19.38;19.19;19.83;19.22;19.47;19.24;19.51;19.18;19.3;19.25;19.4;19.34;19.75;19.15;19.03;19.23;19.46;19.29;18.54;19.28;19.56;19.46;19.77;18.9;18.84;19.46;19.27;19.37;18.77;18.82;18.94;19.11;19.77;19.1;18.9;19.21;19.25;19.2;19.3;18.87;18.89;19.4;19.78;19.33;19.08;19.22;19.3;18.85;19.16;19.25;19.09;19.03;19.75;19.23;19.18;18.79;19.31;19.0;18.76;18.83;18.91;18.95;19.75;19.26;19.06;19.13;18.84;18.85;18.76;18.82;18.88;18.83;19.77;19.19;19.0;19.03;18.76;18.54;18.94;18.57;18.76;18.73;19.77;19.31;18.87;18.88;18.97;18.76;18.97;18.69;18.75;18.7;19.74;19.38;18.98;18.81;19.02;18.61;18.85;18.74;18.73;18.67;19.78;19.35;18.95;18.93;18.68;18.76;18.61;18.61;18.65;18.65;19.78;19.38;19.11;18.93;18.78;18.74;18.67;18.51;18.46;18.75;19.81;19.48;18.98;18.83;18.93;18.67;18.73;18.61;18.68;18.75;19.81;19.42;19.01;18.97;18.8;18.75;18.7;18.68;18.72;18.78;19.83;19.5;19.06;18.87;18.62;18.77;18.69;18.65;18.71;18.76;19.87;19.5;19.06;19.04;18.92;18.69;18.63;18.72;18.67;18.52;19.87;19.46;19.02;18.92;18.83;18.72;18.66;18.59;18.48;18.71
29.81;31.68;35.78;35.72;37.83;37.37;37.49;37.71;38.11;38.16;22.75;23.1;23.3;22.9;22.33;22.04;22.16;21.71;21.55;21.64;20.12;19.86;20.42;20.42;20.93;20.18;20.05;20.19;20.48;20.3;22.15;22.03;22.37;21.8;21.43;21.71;21.71;21.59;21.63;21.5;22.79;23.32;22.76;23.23;22.55;22.92;22.51;22.56;22.36;22.41;23.19;23.75;23.0;22.91;22.93;23.03;22.72;22.62;22.82;22.74;23.16;22.95;22.87;22.79;22.56;22.38;22.47;22.55;22.75;22.72;23.1;23.12;22.69;22.67;22.43;22.66;22.86;22.5;22.57;22.39;23.07;22.59;22.82;22.51;22.79;22.43;22.59;22.52;22.66;22.59;23.01;22.54;22.39;22.58;22.78;22.62;21.84;22.58;22.85;22.77;23.03;22.29;22.21;22.82;22.63;22.72;22.09;22.17;22.28;22.44;23.03;22.51;22.3;22.6;22.64;22.58;22.65;22.23;22.24;22.77;23.05;22.78;22.52;22.66;22.7;22.25;22.57;22.65;22.49;22.43;23.02;22.67;22.64;22.24;22.74;22.43;22.17;22.25;22.32;22.36;23.02;22.71;22.53;22.59;22.28;22.3;22.18;22.27;22.31;22.25;23.04;22.65;22.47;22.5;22.2;21.99;22.38;22.0;22.21;22.16;23.04;22.78;22.36;22.36;22.43;22.23;22.44;22.14;22.23;22.14;23.01;22.85;22.47;22.29;22.48;22.08;22.31;22.2;22.19;22.12;23.06;22.82;22.44;22.43;22.14;22.24;22.07;22.07;22.12;22.12;23.06;22.86;22.62;22.42;22.24;22.23;22.14;21.97;21.93;22.22;23.09;22.96;22.49;22.31;22.41;22.15;22.21;22.07;22.16;22.22;23.09;22.9;22.51;22.47;22.27;22.24;22.18;22.17;22.2;22.27;23.12;22.99;22.57;22.37;22.08;22.27;22.17;22.13;22.19;22.24;23.16;22.98;22.57;22.55;22.4;22.19;22.11;22.21;22.16;21.98;23.15;22.96;22.53;22.42;22.31;22.22;22.14;22.07;21.94;22.19
30.44;32.29;36.55;36.44;38.51;38.07;38.21;38.43;38.85;38.88;25.12;25.56;25.65;25.29;24.71;24.41;24.52;24.08;23.93;24.03;22.44;22.08;22.77;22.73;23.36;22.47;22.36;22.53;22.86;22.65;24.45;24.17;24.59;23.96;23.64;23.93;23.98;23.84;23.8;23.69;24.95;25.41;24.71;25.23;24.44;24.85;24.47;24.54;24.3;24.35;25.3;25.7;24.99;24.8;24.79;24.88;24.54;24.49;24.67;24.59;25.26;24.83;24.79;24.72;24.45;24.22;24.35;24.46;24.6;24.56;25.19;24.95;24.7;24.62;24.32;24.54;24.7;24.36;24.44;24.27;25.16;24.5;24.82;24.42;24.65;24.31;24.46;24.39;24.56;24.43;25.09;24.45;24.41;24.52;24.7;24.57;23.82;24.5;24.73;24.69;25.1;24.27;24.25;24.73;24.62;24.68;24.04;24.17;24.28;24.42;25.09;24.51;24.36;24.61;24.67;24.59;24.62;24.27;24.25;24.74;25.11;24.81;24.6;24.73;24.73;24.32;24.61;24.7;24.54;24.5;25.07;24.72;24.75;24.41;24.8;24.54;24.27;24.39;24.43;24.46;25.07;24.77;24.69;24.76;24.43;24.45;24.3;24.41;24.45;24.4;25.08;24.75;24.64;24.68;24.36;24.16;24.53;24.2;24.37;24.35;25.08;24.88;24.57;24.61;24.63;24.43;24.61;24.35;24.47;24.34;25.04;24.96;24.69;24.57;24.67;24.33;24.5;24.44;24.4;24.32;25.09;24.95;24.68;24.72;24.39;24.48;24.31;24.33;24.41;24.36;25.09;24.99;24.87;24.7;24.46;24.48;24.39;24.26;24.2;24.48;25.12;25.09;24.76;24.63;24.67;24.43;24.46;24.36;24.46;24.47;25.12;25.06;24.8;24.79;24.52;24.51;24.46;24.46;24.5;24.54;25.15;25.14;24.87;24.71;24.38;24.55;24.45;24.43;24.5;24.51;25.19;25.14;24.85;24.89;24.7;24.49;24.39;24.5;24.48;24.31;25.18;25.13;24.84;24.76;24.61;24.53;24.45;24.38;24.27;24.51
29.88;31.72;36.17;35.94;37.99;37.35;37.52;37.74;38.19;38.22;25.54;26.22;26.19;25.85;25.24;24.88;25.0;24.59;24.45;24.55;23.04;22.57;23.4;23.33;24.07;23.05;22.93;23.14;23.52;23.26;25.3;24.87;25.36;24.65;24.34;24.67;24.74;24.57;24.53;24.4;25.83;26.2;25.37;25.9;25.05;25.51;25.1;25.21;24.92;24.97;26.2;26.54;25.89;25.54;25.5;25.53;25.19;25.13;25.3;25.2;26.25;25.66;25.6;25.53;25.27;25.02;25.16;25.23;25.33;25.26;26.23;25.76;25.7;25.52;25.2;25.37;25.55;25.15;25.22;25.05;26.23;25.53;25.8;25.38;25.51;25.22;25.31;25.23;25.42;25.23;26.18;25.53;25.55;25.64;25.65;25.59;24.93;25.43;25.57;25.62;26.22;25.46;25.44;25.81;25.76;25.71;25.14;25.35;25.43;25.51;26.23;25.7;25.7;25.86;25.88;25.74;25.71;25.5;25.43;25.8;26.26;26.08;25.96;26.0;25.98;25.61;25.85;25.92;25.79;25.77;26.24;26.0;26.16;25.92;26.12;25.9;25.61;25.82;25.77;25.81;26.24;26.11;26.16;26.25;25.95;25.93;25.72;25.83;25.85;25.82;26.27;26.15;26.17;26.19;25.87;25.67;25.97;25.77;25.81;25.85;26.27;26.29;26.17;26.31;26.2;25.99;26.1;25.9;26.03;25.89;26.24;26.37;26.32;26.24;26.21;26.0;26.06;26.03;25.99;25.89;26.3;26.41;26.34;26.44;26.07;26.1;26.0;26.0;26.09;26.01;26.3;26.47;26.52;26.41;26.1;26.17;26.06;25.98;25.87;26.14;26.33;26.56;26.46;26.43;26.41;26.14;26.16;26.1;26.18;26.14;26.34;26.58;26.55;26.57;26.26;26.22;26.21;26.2;26.26;26.23;26.37;26.64;26.64;26.57;26.21;26.28;26.22;26.19;26.28;26.23;26.42;26.68;26.6;26.71;26.48;26.28;26.18;26.25;26.3;26.16;26.42;26.69;26.63;26.59;26.43;26.33;26.29;26.18;26.11;26.33
30.14;31.88;36.23;35.83;37.97;37.26;37.47;37.68;38.23;38.26;27.16;27.84;27.71;27.45;26.86;26.52;26.66;26.28;26.2;26.28;25.12;24.51;25.43;25.44;26.19;25.11;24.96;25.19;25.57;25.3;27.45;26.88;27.37;26.7;26.39;26.77;26.86;26.7;26.56;26.47;27.99;28.26;27.24;27.85;26.95;27.45;27.04;27.18;26.9;26.92;28.37;28.46;27.86;27.49;27.41;27.39;27.06;27.05;27.21;27.08;28.45;27.55;27.48;27.5;27.24;26.95;27.08;27.19;27.24;27.17;28.45;27.62;27.7;27.5;27.18;27.32;27.44;27.07;27.17;27.0;28.46;27.48;27.77;27.4;27.46;27.2;27.24;27.17;27.39;27.15;28.4;27.48;27.59;27.69;27.66;27.61;27.0;27.43;27.53;27.6;28.46;27.49;27.52;27.84;27.84;27.73;27.19;27.45;27.52;27.6;28.47;27.74;27.86;27.95;27.99;27.81;27.75;27.64;27.52;27.83;28.51;28.14;28.1;28.07;28.06;27.72;27.95;28.01;27.91;27.91;28.49;28.06;28.32;28.11;28.21;28.04;27.75;28.0;27.92;27.96;28.49;28.2;28.34;28.43;28.14;28.11;27.87;27.99;28.02;28.01;28.52;28.27;28.36;28.35;28.05;27.84;28.12;28.0;27.96;28.05;28.52;28.42;28.38;28.55;28.41;28.18;28.26;28.1;28.23;28.11;28.49;28.5;28.54;28.47;28.39;28.24;28.24;28.25;28.19;28.1;28.55;28.56;28.58;28.68;28.3;28.3;28.24;28.23;28.34;28.23;28.55;28.64;28.73;28.64;28.32;28.4;28.28;28.24;28.11;28.37;28.59;28.72;28.7;28.7;28.66;28.38;28.4;28.36;28.43;28.38;28.6;28.75;28.82;28.82;28.5;28.46;28.46;28.45;28.52;28.46;28.63;28.82;28.91;28.85;28.49;28.52;28.48;28.45;28.54;28.47;28.67;28.87;28.85;28.98;28.75;28.53;28.44;28.5;28.58;28.46;28.68;28.88;28.9;28.86;28.7;28.59;28.57;28.46;28.4;28.59
31.9;33.59;37.83;37.37;39.67;39.12;39.33;39.54;40.09;40.13;27.28;27.87;27.87;27.52;27.04;26.72;26.88;26.49;26.4;26.47;24.9;24.4;25.22;25.32;25.92;25.0;24.85;25.1;25.39;25.16;26.94;26.54;26.92;26.37;26.05;26.43;26.5;26.36;26.22;26.17;27.53;27.8;26.95;27.53;26.85;27.25;26.87;26.95;26.75;26.78;27.88;27.93;27.3;27.12;27.04;27.1;26.81;26.79;26.98;26.86;27.84;26.98;26.99;27.0;26.75;26.48;26.59;26.75;26.86;26.86;27.76;27.07;26.99;26.8;26.61;26.77;26.88;26.55;26.7;26.52;27.71;26.61;26.99;26.65;26.83;26.55;26.62;26.57;26.77;26.61;27.61;26.54;26.6;26.72;26.88;26.77;26.06;26.68;26.89;26.88;27.64;26.41;26.44;26.92;26.83;26.85;26.24;26.39;26.49;26.66;27.63;26.63;26.59;26.81;26.88;26.78;26.8;26.51;26.46;26.9;27.64;26.94;26.77;26.88;26.91;26.51;26.79;26.89;26.75;26.72;27.6;26.85;26.95;26.64;26.97;26.73;26.47;26.63;26.62;26.68;27.59;26.91;26.89;26.96;26.66;26.66;26.49;26.61;26.65;26.63;27.61;26.9;26.84;26.86;26.56;26.34;26.71;26.45;26.55;26.57;27.61;27.04;26.76;26.84;26.85;26.62;26.79;26.56;26.67;26.57;27.56;27.11;26.9;26.78;26.87;26.54;26.7;26.65;26.61;26.54;27.62;27.12;26.91;26.94;26.61;26.65;26.54;26.55;26.63;26.59;27.61;27.16;27.06;26.91;26.67;26.69;26.59;26.5;26.41;26.7;27.64;27.26;26.96;26.88;26.93;26.63;26.69;26.61;26.69;26.71;27.64;27.23;27.04;27.0;26.75;26.71;26.69;26.69;26.75;26.76;27.67;27.31;27.11;26.94;26.64;26.75;26.69;26.67;26.74;26.74;27.7;27.33;27.07;27.11;26.96;26.7;26.64;26.73;26.73;26.59;27.7;27.31;27.07;26.99;26.87;26.75;26.71;26.63;26.54;26.75
31.86;33.54;37.65;37.14;39.53;38.98;39.2;39.39;40.0;40.05;25.77;26.38;26.41;26.01;25.54;25.24;25.41;25.02;24.91;24.98;23.11;22.62;23.45;23.64;24.19;23.27;23.12;23.38;23.66;23.41;25.17;24.78;25.11;24.62;24.27;24.68;24.77;24.61;24.46;24.43;25.87;26.09;25.23;25.84;25.22;25.62;25.22;25.28;25.12;25.15;26.24;26.24;25.59;25.47;25.38;25.45;25.17;25.15;25.36;25.24;26.2;25.26;25.28;25.31;25.09;24.81;24.91;25.08;25.21;25.24;26.12;25.36;25.25;25.05;24.92;25.08;25.19;24.83;25.01;24.83;26.07;24.81;25.2;24.91;25.11;24.83;24.87;24.83;25.04;24.89;25.95;24.72;24.78;24.92;25.13;24.99;24.24;24.92;25.17;25.13;26.0;24.57;24.59;25.15;25.03;25.06;24.43;24.56;24.67;24.86;25.99;24.78;24.73;24.98;25.04;24.95;24.99;24.67;24.62;25.09;26.0;25.07;24.9;25.0;25.06;24.62;24.93;25.03;24.89;24.86;25.97;24.97;25.06;24.71;25.1;24.84;24.57;24.72;24.73;24.79;25.95;25.02;24.97;25.04;24.75;24.73;24.58;24.68;24.74;24.72;25.98;25.0;24.92;24.92;24.62;24.38;24.79;24.5;24.6;24.62;25.98;25.14;24.82;24.87;24.91;24.66;24.85;24.61;24.69;24.63;25.94;25.21;24.95;24.79;24.94;24.56;24.74;24.68;24.64;24.59;25.99;25.21;24.95;24.95;24.64;24.67;24.56;24.57;24.64;24.61;25.98;25.25;25.1;24.92;24.71;24.7;24.61;24.5;24.41;24.73;26.02;25.35;24.98;24.88;24.97;24.63;24.71;24.62;24.69;24.74;26.02;25.31;25.06;25.0;24.78;24.72;24.7;24.69;24.75;24.77;26.05;25.39;25.13;24.93;24.65;24.76;24.7;24.67;24.73;24.75;26.08;25.41;25.09;25.11;24.98;24.69;24.64;24.73;24.72;24.58;26.08;25.39;25.08;24.99;24.88;24.75;24.71;24.63;24.53;24.75
32.98;34.71;38.77;38.59;40.8;40.36;40.51;40.74;41.29;41.34;25.04;25.66;25.76;25.32;24.79;24.51;24.64;24.23;24.03;24.1;21.74;21.48;22.13;22.27;22.82;21.94;21.82;22.02;22.33;22.09;23.73;23.48;23.82;23.32;22.94;23.31;23.36;23.21;23.12;23.07;24.45;24.83;24.11;24.65;24.03;24.41;24.0;24.04;23.86;23.92;24.82;25.19;24.4;24.33;24.31;24.42;24.11;24.06;24.27;24.19;24.78;24.25;24.21;24.17;23.94;23.69;23.8;23.93;24.13;24.14;24.71;24.39;24.0;23.91;23.72;23.94;24.13;23.71;23.88;23.67;24.66;23.67;24.03;23.68;23.98;23.63;23.73;23.68;23.88;23.78;24.56;23.57;23.5;23.64;23.94;23.74;22.87;23.71;24.03;23.93;24.6;23.29;23.26;23.92;23.72;23.83;23.12;23.2;23.33;23.53;24.59;23.51;23.34;23.65;23.7;23.64;23.72;23.27;23.26;23.85;24.61;23.79;23.55;23.68;23.76;23.24;23.59;23.7;23.52;23.47;24.58;23.66;23.67;23.21;23.77;23.43;23.15;23.24;23.32;23.37;24.57;23.69;23.55;23.58;23.28;23.26;23.15;23.24;23.29;23.25;24.6;23.64;23.47;23.47;23.16;22.9;23.35;22.95;23.16;23.12;24.6;23.77;23.34;23.31;23.42;23.18;23.4;23.08;23.18;23.1;24.56;23.85;23.46;23.25;23.48;23.01;23.26;23.15;23.14;23.07;24.61;23.82;23.43;23.39;23.1;23.17;23.0;23.01;23.07;23.06;24.61;23.86;23.62;23.39;23.2;23.16;23.07;22.9;22.84;23.18;24.65;23.96;23.47;23.29;23.4;23.08;23.15;23.01;23.1;23.18;24.65;23.9;23.51;23.44;23.23;23.18;23.13;23.11;23.16;23.22;24.68;24.0;23.58;23.34;23.04;23.21;23.11;23.08;23.14;23.19;24.72;24.0;23.55;23.54;23.39;23.12;23.05;23.15;23.11;22.93;24.72;23.96;23.52;23.41;23.29;23.16;23.09;23.01;22.88;23.15
