0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
24.14,10.56,15.34,36.2,12.88,32.36,11.94,25.2,12.0,17.93,11.79,15.42,12.51,15.01,12.68,13.28,13.06,12.36,12.75,12.45,12.59,11.83,12.31,11.13,12.21,11.19,12.31,11.06,12.06,10.99,12.17,11.06,12.06,10.98,12.02,11.14,11.96,11.22,11.84,11.35,11.49,11.45,11.64,11.54,11.63,11.6,11.57,11.8,11.49,11.28
25.79,8.94,13.77,36.11,10.27,32.22,8.89,25.01,8.72,17.47,8.77,14.58,9.68,13.52,9.79,11.63,10.11,10.5,9.8,10.25,9.59,9.41,9.29,8.2,9.16,8.18,9.28,7.63,9.0,7.72,9.09,7.42,8.97,7.54,8.94,7.8,8.86,7.75,8.72,8.08,8.37,8.15,8.5,8.32,8.45,8.34,8.47,8.54,8.43,7.99
27.56,11.32,15.63,38.55,11.43,34.64,9.1,27.38,8.61,19.86,8.85,16.85,9.48,15.45,9.55,12.87,9.7,11.55,9.36,11.39,9.0,10.2,8.56,8.91,8.45,8.74,8.3,8.0,8.08,8.26,7.9,7.68,7.76,7.82,7.65,8.12,7.49,8.02,7.34,8.13,7.11,8.34,7.09,8.31,7.01,8.24,6.98,8.3,7.0,7.79
26.62,10.73,16.59,40.19,13.25,36.36,11.47,29.04,10.99,21.43,11.07,18.39,11.18,16.99,11.02,14.36,11.05,13.16,10.67,12.85,10.25,11.94,9.72,10.71,9.68,10.58,9.36,9.79,9.08,10.05,8.79,9.42,8.6,9.51,8.33,9.59,8.1,9.61,7.8,9.4,7.42,9.72,7.39,9.62,7.3,9.41,7.22,9.4,7.2,8.93
26.63,11.27,19.11,42.19,15.21,38.36,13.3,31.0,12.78,23.3,12.55,20.22,12.41,18.81,12.11,16.18,12.02,15.01,11.56,14.71,11.06,13.77,10.54,12.5,10.61,12.33,10.29,11.67,10.04,11.97,9.86,11.57,9.74,11.58,9.49,11.52,9.41,11.61,9.13,11.27,8.84,11.58,8.86,11.29,8.81,11.07,8.7,11.01,8.74,10.48
26.28,10.79,18.93,42.16,15.7,38.3,14.17,30.88,13.52,23.17,13.5,19.92,13.71,18.54,13.42,15.92,13.4,14.72,12.95,14.42,12.51,13.45,12.05,12.17,12.26,11.99,12.11,11.31,11.79,11.61,11.84,11.15,11.76,11.29,11.58,11.4,11.61,11.46,11.28,11.36,10.86,11.57,11.03,11.38,10.97,11.33,10.88,11.33,10.91,10.74
26.74,12.47,20.7,43.01,16.97,39.11,14.8,31.63,13.99,23.97,14.45,20.91,15.23,19.54,15.12,16.95,15.21,15.57,14.73,15.43,14.29,14.13,13.82,12.76,13.92,12.46,13.78,11.79,13.44,12.17,13.49,11.58,13.37,11.85,13.14,12.11,13.13,12.15,12.79,12.27,12.29,12.32,12.46,12.26,12.4,12.33,12.28,12.47,12.22,11.78
29.48,13.7,20.86,43.08,15.88,38.88,13.63,31.32,12.65,23.69,12.96,20.83,13.56,19.45,13.48,16.86,13.49,15.45,13.02,15.34,12.67,14.02,12.31,12.62,12.29,12.34,12.21,11.54,11.95,11.87,11.95,11.04,11.84,11.03,11.79,10.99,11.67,11.14,11.45,10.91,10.99,11.08,11.19,10.95,11.15,10.8,11.12,10.89,11.03,10.17
28.99,13.94,19.44,42.61,14.95,38.38,12.64,30.73,11.72,22.81,12.13,19.81,12.85,18.32,12.82,15.56,12.92,14.07,12.46,14.02,12.13,12.65,11.7,11.34,11.56,11.02,11.48,10.35,11.18,10.61,11.13,9.92,11.0,9.92,10.87,9.94,10.68,10.06,10.45,9.82,9.9,9.95,10.1,9.86,10.06,9.68,10.02,9.77,9.91,9.03
29.54,13.33,18.97,43.31,14.49,39.05,12.26,31.36,11.42,23.17,11.61,19.89,11.82,18.39,11.87,15.56,12.05,14.07,11.56,14.01,11.25,12.83,10.8,11.63,10.71,11.48,10.59,10.81,10.25,11.02,10.22,10.45,10.12,10.33,10.0,10.22,9.86,10.37,9.63,9.9,9.09,10.19,9.3,9.94,9.29,9.61,9.21,9.56,9.19,8.86
