0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
25.08,15.55,13.99,12.92,13.9,14.1,13.64,14.14,14.42,14.56,14.7,14.91,15.11,15.28,15.42,15.53,15.64,15.71,15.79,15.86,15.93,15.99,16.04,16.07,16.12
26.69,13.94,11.64,9.78,11.27,11.3,10.54,11.48,12.16,12.63,12.94,13.29,13.58,13.87,14.07,14.23,14.43,14.56,14.67,14.79,14.88,14.98,15.05,15.08,15.17
28.54,16.21,13.08,9.97,10.94,10.58,9.82,10.37,10.98,11.3,11.48,11.74,11.99,12.22,12.38,12.55,12.74,12.88,12.99,13.11,13.2,13.31,13.38,13.41,13.51
27.62,17.11,14.82,12.47,12.61,11.99,10.48,9.89,9.94,9.83,9.93,10.16,10.39,10.6,10.75,10.91,11.09,11.25,11.39,11.52,11.62,11.74,11.83,11.86,11.97
27.7,19.29,16.84,14.33,13.75,12.71,11.11,9.91,9.44,8.89,8.75,8.92,9.15,9.39,9.56,9.72,9.92,10.09,10.25,10.38,10.5,10.62,10.71,10.75,10.87
27.32,19.12,17.1,15.0,15.23,14.54,12.84,11.87,11.33,10.7,10.49,10.46,10.53,10.59,10.66,10.72,10.76,10.82,10.88,10.95,10.99,11.05,11.09,11.1,11.14
27.77,20.75,18.45,15.38,16.91,16.36,14.57,13.64,13.17,12.53,12.14,11.96,11.92,11.84,11.83,11.83,11.77,11.73,11.71,11.71,11.71,11.73,11.77,11.77,11.8
30.48,21.07,17.32,14.22,15.27,14.47,14.0,14.3,14.43,14.28,14.2,14.16,14.17,14.11,14.12,14.14,14.11,14.08,14.06,14.08,14.08,14.12,14.16,14.17,14.21
29.94,19.53,16.22,13.25,14.64,14.02,13.47,13.71,13.98,14.3,14.48,14.63,14.79,14.91,15.01,15.1,15.19,15.24,15.28,15.36,15.41,15.49,15.56,15.59,15.68
30.55,19.5,15.91,13.23,13.48,12.98,12.61,12.79,13.26,14.06,14.47,14.81,15.12,15.4,15.61,15.77,15.96,16.11,16.25,16.4,16.51,16.63,16.73,16.76,16.88
27.77,19.59,18.15,16.73,16.83,16.71,14.86,13.7,13.51,13.79,14.16,14.44,14.7,14.95,15.12,15.26,15.42,15.57,15.71,15.85,15.96,16.08,16.17,16.2,16.33
29.88,22.1,19.86,17.83,17.43,16.92,15.0,13.78,13.5,13.33,13.49,13.6,13.73,14.01,14.22,14.38,14.58,14.74,14.9,15.06,15.2,15.33,15.43,15.47,15.61
29.87,22.44,20.46,18.68,20.31,19.59,17.32,15.96,15.32,14.54,14.34,14.19,14.14,14.22,14.32,14.39,14.45,14.51,14.57,14.72,14.84,14.94,15.02,15.06,15.17
33.57,25.05,22.32,19.06,19.58,18.32,15.72,14.21,13.61,12.96,12.62,12.35,12.24,12.34,12.52,12.67,12.82,12.93,13.04,13.22,13.37,13.5,13.61,13.66,13.8
33.22,23.09,20.13,18.31,18.68,17.5,14.87,14.36,14.44,14.34,14.31,14.31,14.41,14.54,14.75,14.92,15.1,15.21,15.34,15.53,15.68,15.83,15.95,16.0,16.15
34.07,23.58,20.56,18.51,16.6,15.38,12.68,12.11,12.39,12.97,13.32,13.61,13.91,14.27,14.6,14.87,15.19,15.42,15.6,15.79,15.95,16.11,16.22,16.28,16.43
33.47,23.02,19.87,17.82,17.12,16.7,14.44,14.01,14.26,14.69,15.27,15.73,16.15,16.52,16.8,17.02,17.28,17.47,17.59,17.76,17.88,18.02,18.1,18.15,18.29
34.0,25.24,22.8,19.76,18.31,18.02,15.68,14.22,13.69,14.15,14.71,15.12,15.5,15.86,16.11,16.31,16.55,16.73,16.84,17.0,17.1,17.23,17.31,17.34,17.48
35.01,26.27,24.17,20.72,18.78,18.32,16.08,14.8,14.61,15.13,15.75,16.19,16.6,16.98,17.25,17.46,17.72,17.91,18.03,18.2,18.32,18.45,18.54,18.58,18.71
33.38,26.74,25.04,21.86,20.73,19.82,17.2,15.77,15.47,16.05,16.63,17.05,17.44,17.81,18.05,18.26,18.51,18.69,18.81,18.98,19.09,19.21,19.3,19.32,19.44
33.71,27.89,26.07,22.42,22.74,21.84,19.1,17.52,17.14,16.95,17.1,17.34,17.71,18.07,18.31,18.51,18.75,18.93,19.04,19.22,19.37,19.51,19.63,19.66,19.81
33.97,25.26,23.32,20.43,21.53,20.88,20.08,20.22,20.19,19.98,20.09,20.3,20.66,21.02,21.24,21.44,21.67,21.85,21.95,22.13,22.26,22.41,22.53,22.55,22.7
34.94,24.36,22.25,19.33,21.48,21.05,20.17,20.26,20.2,19.83,19.95,20.17,20.54,20.91,21.14,21.35,21.6,21.8,21.92,22.11,22.25,22.41,22.53,22.57,22.74
35.67,23.45,20.49,17.71,19.64,19.24,18.6,18.74,19.52,19.99,20.59,21.04,21.45,21.85,22.11,22.34,22.62,22.84,22.97,23.15,23.27,23.42,23.51,23.55,23.71
34.22,25.24,22.28,18.93,22.39,21.79,18.86,17.29,18.06,18.5,19.08,19.51,19.91,20.29,20.55,20.77,21.04,21.26,21.41,21.6,21.74,21.89,22.0,22.05,22.21
