0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
28.59,18.81,18.67,38.42,18.94,38.53,19.23,31.28,20.42,23.61,18.95,21.3,17.22,20.72,16.98,20.76,17.24,20.57,17.5,17.48,17.75,16.9,17.96,17.0,18.18,16.92,18.36,17.16,18.54,17.68,18.69,17.89,18.84,18.2,18.94,18.37,19.05,18.77,19.16,18.97,19.25,18.98,19.35,19.39,19.42,19.53,19.47,15.5,19.55,15.05
29.85,17.34,16.85,38.48,14.33,38.14,13.64,30.42,15.02,21.15,14.02,18.18,13.05,17.25,14.07,16.97,15.01,16.47,15.81,12.48,16.37,11.54,16.81,11.53,17.2,11.37,17.58,11.64,17.86,12.06,18.1,12.22,18.37,12.43,18.56,12.74,18.73,13.11,18.9,13.37,19.04,13.43,19.18,14.1,19.29,14.01,19.36,10.72,19.49,10.33
31.09,20.03,20.07,41.01,17.37,40.48,15.23,33.14,15.35,24.66,13.35,21.41,11.71,20.5,12.26,20.13,13.06,19.62,13.79,14.96,14.29,14.0,14.71,13.66,15.1,13.43,15.48,13.55,15.77,13.67,16.0,13.67,16.28,13.75,16.48,13.76,16.65,13.78,16.82,13.99,16.96,13.94,17.11,14.15,17.22,14.31,17.29,9.47,17.43,9.07
30.37,19.25,21.32,41.71,19.9,41.73,18.31,34.74,18.31,26.48,15.41,23.52,12.56,22.79,11.89,22.55,12.24,22.2,12.66,17.65,13.03,16.66,13.36,16.4,13.69,16.25,14.02,16.47,14.28,16.61,14.49,16.67,14.74,16.79,14.92,16.82,15.08,16.81,15.24,17.04,15.37,16.92,15.52,17.02,15.63,17.27,15.69,10.7,15.83,10.12
30.99,20.66,23.54,43.5,22.26,43.77,21.0,37.12,20.88,28.83,17.43,25.7,13.76,24.88,12.31,24.65,12.24,24.25,12.36,20.18,12.58,19.29,12.83,19.09,13.1,18.93,13.35,19.08,13.58,19.45,13.78,19.54,13.99,19.58,14.13,19.6,14.29,19.56,14.44,19.81,14.56,19.74,14.7,19.8,14.8,20.02,14.87,12.53,14.99,11.75
30.29,21.62,23.88,43.59,22.85,43.98,22.8,37.53,23.54,29.07,20.19,25.7,16.26,24.85,14.7,24.61,14.48,24.23,14.43,21.13,14.53,20.45,14.7,20.48,14.92,20.39,15.1,20.52,15.3,21.29,15.47,21.54,15.63,21.54,15.73,21.71,15.87,21.84,16.01,22.11,16.12,22.23,16.23,22.5,16.33,22.63,16.4,14.77,16.49,13.8
30.43,24.46,25.42,44.7,24.85,45.11,25.27,38.9,26.26,30.93,22.71,27.25,18.37,26.32,16.49,26.14,16.04,25.77,15.77,23.13,15.75,22.65,15.83,22.77,15.99,22.66,16.09,22.7,16.25,23.77,16.39,24.09,16.5,24.08,16.56,24.21,16.69,24.43,16.82,24.69,16.91,24.91,17.0,25.16,17.08,25.31,17.16,16.85,17.22,15.75
32.28,25.02,25.75,45.47,24.58,45.35,23.58,38.89,23.91,31.11,20.68,27.61,17.39,26.72,16.75,26.48,17.01,26.09,17.34,22.11,17.65,21.44,17.95,21.38,18.27,21.16,18.57,21.2,18.82,21.91,19.03,22.03,19.27,22.05,19.44,22.02,19.61,22.1,19.78,22.33,19.91,22.46,20.05,22.5,20.16,22.7,20.22,15.46,20.35,14.72
32.24,24.88,24.29,45.0,22.73,44.51,21.37,37.69,21.94,29.84,18.92,26.11,16.06,25.18,16.23,24.87,16.92,24.46,17.58,19.97,18.07,19.27,18.51,19.2,18.93,18.95,19.34,18.95,19.65,19.68,19.91,19.79,20.23,19.83,20.44,19.77,20.64,19.89,20.85,20.12,21.01,20.29,21.18,20.34,21.3,20.54,21.38,13.31,21.53,12.63
33.5,23.48,23.76,45.59,21.47,45.05,19.22,37.77,19.51,29.29,16.46,25.72,14.14,24.87,15.07,24.48,16.25,24.05,17.31,18.78,18.03,17.83,18.62,17.57,19.16,17.33,19.71,17.42,20.09,17.76,20.41,17.8,20.81,17.86,21.09,17.83,21.32,17.84,21.56,18.08,21.75,18.07,21.96,18.16,22.11,18.36,22.19,11.06,22.39,10.55
31.27,21.05,23.8,44.9,23.8,45.32,23.6,38.4,24.66,29.69,20.93,26.97,17.18,26.49,16.47,26.29,16.94,26.13,17.47,21.87,17.93,20.99,18.37,21.07,18.79,20.98,19.19,21.31,19.52,21.91,19.8,22.13,20.11,22.31,20.33,22.54,20.54,22.72,20.75,23.05,20.92,23.0,21.1,23.32,21.23,23.47,21.32,14.36,21.48,13.48
32.9,23.69,26.63,47.31,26.7,47.99,26.45,41.3,27.15,32.83,22.81,29.9,18.26,29.27,16.8,29.14,16.92,28.9,17.23,24.89,17.6,24.07,17.98,24.15,18.36,24.01,18.72,24.24,19.03,24.98,19.3,25.19,19.59,25.33,19.79,25.46,19.99,25.61,20.2,25.92,20.36,25.88,20.54,26.08,20.67,26.23,20.76,16.28,20.91,15.25
32.29,26.34,28.35,48.02,29.22,48.89,30.03,42.64,31.33,34.68,26.85,31.55,21.76,30.91,19.72,30.86,19.42,30.68,19.34,27.59,19.47,27.02,19.68,27.27,19.94,27.18,20.16,27.35,20.4,28.47,20.6,28.8,20.8,28.93,20.93,29.11,21.1,29.4,21.27,29.72,21.41,29.83,21.55,30.09,21.66,30.24,21.75,19.59,21.86,18.38
35.64,30.88,31.83,51.96,31.49,52.82,31.6,46.59,32.37,38.66,27.17,34.5,21.17,33.44,18.39,33.37,17.75,32.95,17.5,29.92,17.58,29.4,17.77,29.48,18.04,29.35,18.25,29.31,18.5,30.55,18.73,30.9,18.93,30.9,19.04,30.92,19.25,31.13,19.43,31.4,19.57,31.57,19.71,31.67,19.84,31.83,19.94,20.15,20.05,18.71
