0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249
24.46	26.1	29.82	29.78	31.96	31.86	32.05	32.31	32.9	32.93	17.25	16.9	17.31	16.83	16.57	16.2	16.38	15.91	15.85	15.86	14.02	13.74	14.1	14.03	14.46	13.98	13.89	14.02	14.17	14.12	15.59	15.25	15.43	15.05	14.86	15.18	15.12	15.03	15.06	14.97	16.37	16.46	16.41	16.72	16.23	16.61	16.03	16.18	16.05	15.86	16.79	17.4	16.54	16.81	17.04	16.86	16.64	16.4	16.62	16.57	16.85	17.06	16.62	16.82	16.77	16.85	16.82	16.66	16.92	16.92	16.91	17.36	16.67	17.02	16.99	17.08	17.32	16.95	17.05	16.83	16.96	17.05	16.89	17.27	17.4	17.19	17.21	17.14	17.2	17.22	16.97	17.03	16.87	17.34	17.39	17.26	16.8	17.27	17.48	17.41	17.05	16.87	16.86	17.52	17.33	17.32	17.05	16.94	17.07	17.19	17.09	16.97	16.92	17.26	17.32	17.17	17.37	16.97	17.02	17.39	17.12	17.03	16.93	17.0	17.29	16.86	17.15	17.18	17.09	17.01	17.14	16.99	16.92	16.55	17.17	16.83	16.78	16.75	16.84	16.88	17.16	17.02	16.69	16.81	16.66	16.63	16.71	16.61	16.75	16.74	17.2	16.9	16.64	16.65	16.61	16.3	16.75	16.37	16.51	16.54	17.23	17.02	16.4	16.34	16.64	16.37	16.65	16.42	16.32	16.43	17.22	17.05	16.45	16.25	16.67	16.13	16.52	16.38	16.37	16.39	17.26	16.99	16.39	16.22	16.21	16.25	16.18	16.15	16.13	16.21	17.27	17.01	16.44	16.27	16.34	16.15	16.21	16.03	16.01	16.27	17.3	17.08	16.27	16.1	16.34	16.06	16.21	16.09	16.11	16.29	17.31	16.99	16.27	16.11	16.19	16.07	16.06	16.06	16.08	16.18	17.32	17.06	16.27	15.94	15.93	16.05	16.06	16.01	16.0	16.17	17.36	17.05	16.28	16.07	16.22	15.91	15.98	16.02	15.91	15.79	17.35	16.98	16.19	15.99	16.09	15.92	15.93	15.89	15.8	15.86
25.81	27.55	31.34	31.37	33.47	33.51	33.7	33.96	34.61	34.66	15.99	15.46	15.85	15.16	15.04	14.55	14.79	14.33	14.29	14.34	11.5	11.07	11.77	11.43	12.22	11.47	11.37	11.77	11.93	11.88	12.63	12.44	12.62	12.27	12.14	12.48	12.47	12.33	12.27	12.29	13.14	13.37	13.18	13.5	13.0	13.39	12.84	12.97	12.91	12.72	13.59	14.11	13.29	13.52	13.69	13.56	13.35	13.06	13.3	13.24	13.59	13.62	13.24	13.4	13.34	13.45	13.39	13.24	13.52	13.56	13.6	13.91	13.36	13.49	13.58	13.69	13.88	13.51	13.58	13.41	13.65	13.57	13.42	13.79	13.96	13.78	13.76	13.68	13.74	13.8	13.63	13.55	13.4	13.87	13.89	13.81	13.35	13.83	13.99	13.96	13.73	13.39	13.33	14.1	13.82	13.86	13.59	13.47	13.54	13.72	13.76	13.49	13.37	13.8	13.8	13.72	13.9	13.48	13.53	13.89	13.8	13.55	13.35	13.55	13.76	13.33	13.64	13.69	13.59	13.53	13.82	13.5	13.38	13.09	13.67	13.35	13.25	13.24	13.29	13.36	13.83	13.52	13.15	13.35	13.14	13.14	13.18	13.1	13.22	13.23	13.88	13.39	13.1	13.18	13.05	12.78	13.22	12.87	12.98	13.0	13.9	13.49	12.84	12.84	13.1	12.84	13.13	12.9	12.79	12.92	13.89	13.54	12.91	12.73	13.15	12.58	12.98	12.84	12.84	12.87	13.92	13.48	12.85	12.72	12.68	12.7	12.63	12.62	12.57	12.7	13.94	13.47	12.9	12.75	12.82	12.6	12.65	12.5	12.46	12.74	13.98	13.55	12.71	12.57	12.82	12.5	12.68	12.55	12.56	12.76	13.98	13.44	12.73	12.58	12.68	12.54	12.54	12.52	12.54	12.65	13.99	13.52	12.72	12.39	12.4	12.53	12.54	12.48	12.46	12.63	14.03	13.51	12.75	12.54	12.71	12.37	12.46	12.51	12.37	12.27	14.02	13.42	12.65	12.47	12.56	12.39	12.4	12.38	12.26	12.36
27.89	29.46	33.14	33.12	35.28	35.33	35.52	35.79	36.45	36.51	17.56	17.14	17.58	17.11	16.79	16.44	16.6	16.14	16.07	16.11	12.84	12.85	13.38	13.35	14.09	13.09	13.05	13.39	13.6	13.54	12.63	12.78	13.08	12.66	12.73	13.17	13.41	13.16	12.68	12.9	13.29	13.45	13.2	13.54	13.18	13.57	13.02	13.13	13.04	12.86	13.78	14.57	13.61	13.81	14.11	13.83	13.61	13.38	13.64	13.61	13.96	14.07	13.69	13.9	13.94	13.91	13.94	13.75	14.03	14.08	14.1	14.35	13.77	13.99	14.0	14.08	14.38	13.81	14.03	13.79	14.23	13.84	13.76	14.06	14.24	14.06	13.91	13.87	14.05	14.04	14.24	13.77	13.66	14.02	14.1	13.92	13.4	13.96	14.16	14.06	14.4	13.6	13.48	14.25	13.96	14.01	13.68	13.62	13.69	13.84	14.46	13.71	13.59	13.91	13.88	13.84	14.0	13.59	13.66	14.01	14.52	13.77	13.63	13.65	13.88	13.44	13.76	13.78	13.7	13.63	14.56	13.69	13.61	13.14	13.76	13.47	13.34	13.33	13.44	13.47	14.58	13.7	13.34	13.37	13.24	13.23	13.27	13.22	13.31	13.3	14.64	13.56	13.28	13.23	13.13	12.91	13.31	12.94	13.07	13.06	14.67	13.65	13.06	12.87	13.16	12.97	13.22	12.95	12.86	12.99	14.67	13.69	13.09	12.76	13.23	12.71	13.07	12.9	12.94	12.95	14.72	13.62	13.0	12.76	12.73	12.84	12.73	12.68	12.63	12.73	14.74	13.62	13.07	12.79	12.9	12.75	12.75	12.53	12.51	12.79	14.79	13.69	12.89	12.59	12.87	12.62	12.75	12.59	12.61	12.81	14.79	13.57	12.86	12.62	12.76	12.67	12.63	12.59	12.6	12.69	14.81	13.65	12.84	12.44	12.46	12.65	12.61	12.53	12.52	12.7	14.85	13.63	12.86	12.59	12.75	12.49	12.55	12.56	12.42	12.3	14.85	13.55	12.76	12.52	12.61	12.5	12.46	12.43	12.31	12.44
27.08	28.55	32.2	32.19	34.39	34.48	34.66	34.93	35.53	35.59	18.78	18.39	18.64	18.34	17.92	17.59	17.74	17.23	17.25	17.35	14.62	14.86	15.28	15.3	15.96	15.01	14.94	15.25	15.42	15.4	14.66	15.24	15.47	14.84	14.75	15.09	15.2	14.96	14.86	14.86	15.28	15.86	15.74	15.93	15.65	16.0	15.55	15.6	15.43	15.3	15.84	17.01	16.13	16.18	16.49	16.22	15.93	15.74	16.02	15.98	16.04	16.43	16.04	16.09	16.15	16.16	16.2	15.93	16.29	16.21	16.15	16.68	15.77	16.16	16.13	16.16	16.56	15.94	16.07	15.84	16.26	16.08	15.75	16.1	16.28	16.02	15.87	15.88	16.09	16.02	16.25	15.97	15.57	16.02	16.13	15.86	15.3	15.9	16.1	15.99	16.4	15.69	15.41	16.18	15.89	15.96	15.55	15.54	15.65	15.77	16.46	15.83	15.49	15.83	15.8	15.79	15.92	15.47	15.63	15.94	16.52	15.89	15.59	15.59	15.77	15.4	15.73	15.72	15.66	15.53	16.57	15.82	15.59	15.08	15.67	15.44	15.25	15.28	15.4	15.42	16.6	15.81	15.29	15.29	15.13	15.22	15.18	15.21	15.29	15.19	16.67	15.65	15.23	15.22	15.05	14.97	15.25	14.89	15.04	14.99	16.71	15.76	15.04	14.83	15.04	14.96	15.18	14.91	14.84	14.91	16.71	15.77	15.08	14.68	15.12	14.72	15.04	14.84	14.88	14.88	16.76	15.71	14.99	14.73	14.63	14.86	14.68	14.62	14.57	14.65	16.78	15.71	15.07	14.72	14.8	14.78	14.73	14.47	14.47	14.73	16.84	15.77	14.89	14.49	14.78	14.63	14.71	14.51	14.57	14.75	16.85	15.67	14.82	14.6	14.66	14.69	14.55	14.53	14.53	14.61	16.87	15.74	14.81	14.42	14.37	14.63	14.56	14.46	14.46	14.63	16.92	15.72	14.86	14.57	14.64	14.5	14.47	14.49	14.37	14.2	16.91	15.63	14.74	14.47	14.53	14.48	14.37	14.36	14.2	14.4
27.47	28.78	32.34	32.27	34.52	34.52	34.7	34.96	35.51	35.55	21.25	21.0	21.23	20.91	20.54	20.2	20.35	19.84	19.85	19.93	16.63	16.88	17.31	17.33	18.0	17.03	16.96	17.28	17.4	17.43	16.44	17.05	17.39	16.6	16.64	16.93	17.14	16.82	16.72	16.72	16.69	17.3	17.08	17.19	17.03	17.3	17.09	17.09	16.84	16.77	16.9	17.84	17.21	16.98	17.22	17.12	16.74	16.8	16.96	17.02	16.98	16.91	16.81	16.68	16.74	16.61	16.65	16.59	16.85	16.76	16.99	17.14	16.32	16.6	16.57	16.56	17.01	16.38	16.52	16.27	17.0	16.53	16.25	16.54	16.71	16.42	16.28	16.32	16.53	16.41	16.91	16.4	15.94	16.44	16.57	16.26	15.71	16.3	16.52	16.41	16.99	16.1	15.82	16.55	16.31	16.36	15.93	15.93	16.08	16.16	17.0	16.25	15.87	16.19	16.22	16.18	16.31	15.85	16.03	16.35	17.02	16.3	15.98	15.94	16.17	15.8	16.12	16.12	16.07	15.91	17.03	16.22	15.97	15.42	16.05	15.81	15.62	15.68	15.79	15.81	17.03	16.21	15.66	15.63	15.48	15.59	15.54	15.59	15.69	15.57	17.07	16.04	15.6	15.56	15.43	15.34	15.63	15.24	15.44	15.36	17.09	16.16	15.39	15.2	15.4	15.36	15.55	15.27	15.3	15.26	17.07	16.15	15.44	15.13	15.46	15.12	15.41	15.24	15.25	15.22	17.11	16.09	15.38	15.2	15.08	15.28	15.07	15.06	15.08	15.11	17.11	16.1	15.49	15.16	15.17	15.19	15.14	14.92	14.95	15.17	17.15	16.15	15.31	14.97	15.2	15.07	15.15	14.96	15.06	15.16	17.15	16.06	15.23	15.14	15.07	15.15	15.01	15.01	14.99	15.11	17.15	16.13	15.26	15.05	14.91	15.08	15.0	14.93	14.98	15.07	17.19	16.12	15.32	15.12	15.08	14.98	14.91	14.98	14.89	14.79	17.18	16.03	15.21	15.01	15.02	14.98	14.89	14.84	14.76	14.94
27.13	28.54	32.08	31.99	34.29	34.15	34.34	34.58	35.12	35.14	21.4	20.87	21.11	20.8	20.45	20.05	20.27	19.73	19.82	19.95	17.01	17.15	17.74	17.81	18.45	17.55	17.45	17.84	17.99	17.89	17.55	17.96	18.38	17.7	17.66	18.04	18.24	17.83	17.82	17.82	17.32	18.06	17.69	17.67	17.63	17.8	17.9	17.83	17.55	17.56	17.21	18.3	17.79	17.28	17.44	17.48	17.07	17.04	17.22	17.3	17.29	17.04	17.28	16.84	16.88	16.78	16.8	16.74	17.03	16.96	17.25	17.26	16.66	16.63	16.73	16.71	17.15	16.51	16.62	16.39	17.21	16.62	16.39	16.63	16.83	16.54	16.38	16.43	16.64	16.52	17.06	16.45	15.97	16.43	16.64	16.35	15.75	16.36	16.58	16.51	17.14	16.1	15.84	16.53	16.3	16.38	15.9	15.9	16.04	16.14	17.12	16.16	15.81	16.07	16.12	16.13	16.25	15.8	15.95	16.27	17.12	16.18	15.86	15.8	16.07	15.67	15.97	16.04	15.98	15.8	17.11	16.03	15.83	15.24	15.95	15.66	15.46	15.57	15.62	15.68	17.1	15.99	15.53	15.4	15.31	15.41	15.35	15.41	15.53	15.42	17.13	15.81	15.43	15.29	15.22	15.1	15.42	15.05	15.24	15.12	17.13	15.91	15.17	14.91	15.17	15.13	15.33	15.04	15.13	15.06	17.1	15.88	15.22	14.91	15.25	14.86	15.17	14.99	15.0	15.0	17.13	15.79	15.17	14.99	14.92	15.01	14.81	14.86	14.95	14.94	17.13	15.79	15.27	14.92	14.92	14.92	14.87	14.71	14.77	14.99	17.15	15.82	15.09	14.76	15.02	14.81	14.96	14.76	14.87	14.93	17.14	15.72	15.04	14.99	14.87	14.93	14.86	14.82	14.8	14.95	17.15	15.76	15.07	14.88	14.72	14.86	14.8	14.74	14.84	14.84	17.19	15.75	15.13	14.95	14.89	14.78	14.72	14.82	14.76	14.65	17.17	15.65	15.02	14.85	14.82	14.8	14.72	14.66	14.61	14.84
27.76	29.12	32.57	32.43	34.78	34.54	34.74	34.95	35.53	35.53	23.06	22.69	22.92	22.6	22.24	21.83	22.08	21.52	21.61	21.74	18.28	18.2	18.95	18.97	19.72	18.77	18.71	19.12	19.36	19.12	18.85	18.97	19.32	18.99	18.88	19.5	19.71	19.34	18.91	19.15	18.55	19.24	18.35	18.5	18.47	18.67	18.86	18.82	18.7	18.65	18.2	19.1	18.46	18.09	18.26	18.29	17.88	17.9	18.03	18.11	18.17	17.86	17.94	17.64	17.69	17.59	17.61	17.55	17.85	17.76	18.08	18.08	17.44	17.44	17.54	17.51	17.97	17.31	17.47	17.19	18.04	17.43	17.24	17.48	17.67	17.43	17.26	17.29	17.5	17.37	17.88	17.25	16.87	17.3	17.5	17.26	16.68	17.26	17.49	17.45	17.96	16.9	16.75	17.41	17.23	17.27	16.83	16.79	16.94	17.05	17.94	16.88	16.71	16.95	17.07	17.0	17.16	16.73	16.8	17.19	17.92	16.9	16.71	16.64	17.03	16.55	16.82	16.93	16.86	16.7	17.89	16.73	16.67	16.06	16.88	16.48	16.36	16.44	16.47	16.54	17.87	16.7	16.38	16.24	16.21	16.21	16.23	16.21	16.37	16.32	17.89	16.53	16.28	16.07	16.11	15.81	16.27	15.86	16.06	15.97	17.87	16.64	15.95	15.7	16.07	15.91	16.15	15.87	15.93	15.9	17.84	16.62	15.99	15.73	16.13	15.61	15.99	15.82	15.81	15.83	17.86	16.52	15.96	15.76	15.77	15.75	15.61	15.67	15.78	15.77	17.85	16.51	16.04	15.73	15.75	15.64	15.64	15.52	15.56	15.81	17.87	16.55	15.85	15.6	15.88	15.54	15.76	15.58	15.67	15.75	17.86	16.44	15.83	15.74	15.68	15.63	15.66	15.6	15.6	15.77	17.85	16.49	15.88	15.61	15.52	15.59	15.58	15.54	15.63	15.64	17.89	16.48	15.9	15.68	15.72	15.5	15.5	15.6	15.54	15.44	17.87	16.38	15.79	15.6	15.63	15.53	15.51	15.44	15.42	15.56
30.2	31.68	35.35	35.25	37.53	37.39	37.59	37.82	38.44	38.46	23.07	22.52	23.0	22.48	22.25	21.79	22.05	21.52	21.52	21.58	17.19	16.97	17.86	17.84	18.59	17.64	17.63	18.04	18.4	17.98	17.94	18.03	18.26	18.13	17.8	18.49	18.65	18.3	17.85	18.11	18.3	18.85	17.81	18.12	18.15	18.4	18.38	18.38	18.42	18.38	18.27	19.09	18.26	18.22	18.33	18.22	18.02	17.98	18.11	18.09	18.33	18.32	18.13	18.01	18.06	18.1	18.07	17.83	18.24	18.2	18.32	18.62	17.87	17.85	18.07	18.09	18.5	17.82	17.97	17.73	18.32	17.96	17.69	18.01	18.22	18.0	17.82	17.82	18.01	17.95	18.25	17.79	17.45	17.84	18.03	17.81	17.21	17.82	18.05	18.0	18.4	17.44	17.27	18.02	17.77	17.83	17.4	17.35	17.46	17.6	18.42	17.42	17.27	17.54	17.6	17.56	17.73	17.29	17.34	17.74	18.45	17.45	17.26	17.23	17.58	17.07	17.37	17.48	17.39	17.27	18.46	17.28	17.22	16.62	17.43	17.04	16.9	16.96	17.0	17.08	18.47	17.25	16.92	16.81	16.77	16.75	16.78	16.75	16.89	16.86	18.51	17.08	16.82	16.63	16.63	16.33	16.81	16.4	16.56	16.5	18.53	17.17	16.5	16.21	16.62	16.41	16.69	16.39	16.36	16.45	18.51	17.17	16.54	16.16	16.7	16.09	16.52	16.32	16.34	16.38	18.55	17.07	16.47	16.16	16.2	16.21	16.1	16.11	16.15	16.2	18.56	17.05	16.52	16.16	16.27	16.11	16.11	15.94	15.95	16.25	18.59	17.11	16.32	15.99	16.34	15.97	16.2	16.01	16.06	16.23	18.59	16.98	16.3	16.07	16.15	16.05	16.07	16.0	16.02	16.15	18.61	17.03	16.31	15.85	15.85	16.01	16.02	15.94	15.98	16.09	18.66	17.01	16.32	16.01	16.17	15.87	15.93	15.98	15.87	15.72	18.64	16.9	16.2	15.93	16.01	15.9	15.85	15.82	15.72	15.89
29.71	31.1	34.73	34.69	36.89	36.9	37.09	37.34	38.01	38.04	21.66	21.26	21.71	21.16	20.91	20.47	20.71	20.19	20.19	20.25	16.21	16.05	16.96	16.94	17.71	16.74	16.73	17.14	17.51	17.09	17.06	17.12	17.35	17.25	16.9	17.58	17.76	17.4	16.94	17.2	17.8	18.33	17.07	17.53	17.52	17.83	17.71	17.76	17.89	17.78	17.9	18.52	17.56	17.79	17.91	17.72	17.56	17.56	17.68	17.62	17.93	17.91	17.42	17.59	17.64	17.67	17.65	17.4	17.82	17.77	17.91	18.21	17.28	17.43	17.65	17.67	18.08	17.39	17.55	17.3	17.91	17.54	17.2	17.58	17.8	17.57	17.39	17.39	17.58	17.52	17.84	17.37	17.01	17.41	17.6	17.38	16.76	17.39	17.62	17.57	17.99	17.0	16.83	17.6	17.34	17.4	16.96	16.91	17.02	17.17	18.02	16.98	16.83	17.11	17.16	17.13	17.29	16.85	16.9	17.31	18.04	17.01	16.82	16.79	17.14	16.62	16.93	17.04	16.94	16.82	18.05	16.84	16.78	16.17	16.99	16.6	16.45	16.51	16.55	16.63	18.06	16.81	16.47	16.37	16.32	16.3	16.32	16.29	16.43	16.41	18.1	16.64	16.37	16.18	16.18	15.87	16.35	15.94	16.1	16.04	18.12	16.73	16.05	15.73	16.16	15.95	16.23	15.93	15.83	15.98	18.1	16.73	16.08	15.6	16.25	15.61	16.06	15.85	15.86	15.92	18.14	16.63	16.01	15.58	15.66	15.71	15.62	15.58	15.57	15.65	18.15	16.61	16.04	15.61	15.79	15.62	15.62	15.39	15.36	15.72	18.18	16.66	15.81	15.39	15.84	15.43	15.67	15.47	15.49	15.74	18.18	16.53	15.8	15.41	15.61	15.49	15.49	15.42	15.44	15.55	18.19	16.59	15.79	15.18	15.27	15.43	15.46	15.34	15.35	15.54	18.25	16.57	15.78	15.34	15.62	15.27	15.37	15.35	15.22	15.09	18.23	16.45	15.64	15.26	15.44	15.28	15.25	15.22	15.09	15.22
30.29	31.68	35.28	35.23	37.45	37.54	37.73	37.99	38.69	38.74	21.24	20.67	21.09	20.78	20.32	20.01	20.19	19.65	19.63	19.68	15.8	16.04	16.64	16.65	17.37	16.37	16.37	16.66	17.0	16.72	16.31	16.39	16.83	16.49	16.17	16.77	17.02	16.62	16.31	16.39	17.24	17.74	16.87	17.24	17.05	17.4	17.12	17.18	17.21	17.13	17.56	18.51	17.44	17.73	17.95	17.68	17.5	17.49	17.65	17.6	17.83	18.05	17.47	17.68	17.75	17.76	17.76	17.49	17.89	17.82	17.92	18.37	17.32	17.65	17.73	17.78	18.22	17.51	17.65	17.41	17.98	17.7	17.31	17.69	17.92	17.61	17.45	17.47	17.67	17.61	17.97	17.53	17.09	17.48	17.73	17.42	16.74	17.44	17.71	17.58	18.13	17.16	16.92	17.67	17.39	17.47	16.96	16.98	17.09	17.2	18.19	17.15	16.98	17.14	17.15	17.16	17.31	16.87	16.94	17.34	18.24	17.19	17.04	16.82	17.17	16.65	16.99	17.03	16.96	16.83	18.26	17.04	16.93	16.19	16.99	16.65	16.45	16.5	16.62	16.65	18.29	17.01	16.6	16.4	16.33	16.37	16.35	16.37	16.47	16.39	18.35	16.83	16.47	16.28	16.2	16.02	16.4	15.98	16.16	16.08	18.38	16.93	16.21	15.82	16.17	16.06	16.3	15.97	15.9	16.01	18.37	16.93	16.23	15.67	16.28	15.75	16.14	15.9	15.95	15.96	18.42	16.84	16.11	15.69	15.68	15.88	15.71	15.64	15.61	15.68	18.43	16.84	16.2	15.7	15.86	15.8	15.74	15.44	15.44	15.77	18.48	16.89	15.97	15.45	15.85	15.6	15.74	15.5	15.56	15.79	18.49	16.77	15.9	15.52	15.69	15.67	15.57	15.51	15.51	15.6	18.5	16.84	15.89	15.29	15.34	15.6	15.55	15.42	15.43	15.63	18.56	16.81	15.91	15.46	15.66	15.45	15.46	15.44	15.3	15.13	18.55	16.7	15.77	15.37	15.51	15.43	15.33	15.3	15.14	15.31
